Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,320.9061,191.4866,1166.84888,344.85663,139.80893,1139.03467,387.55203,121.73301,1131.68237,444.73303,124.69104,1122.86475,400.54623,170.39447,1193.21252,460.95358,165.33148,1190.63831,499.1066,155.09796,1170.47278
2,0.008,321.703,191.83151,1166.5144,346.12305,140.11674,1139.29626,390.05063,123.20899,1131.22498,445.46124,125.60458,1123.6344,401.45486,169.64629,1193.37061,462.14563,164.31432,1190.09363,499.68698,154.95589,1169.93079
3,0.017,321.55365,191.82886,1166.41223,346.77304,141.20889,1139.1687,389.27963,121.80302,1131.07751,445.91248,125.30395,1122.41248,401.90164,169.49788,1192.91199,462.92459,164.59877,1188.71582,499.66675,155.79529,1170.06909
4,0.025,322.0502,191.86143,1166.40613,346.77304,141.20889,1139.1687,390.13089,121.09961,1130.88171,446.48224,125.17402,1121.89307,402.02896,169.12532,1192.7301,463.50461,164.34535,1188.6189,500.61215,155.34233,1169.85352
5,0.033,322.88892,191.54367,1165.37878,346.73813,140.43141,1138.20483,390.13089,121.09961,1130.88171,446.54706,125.33571,1121.69507,402.12717,169.94682,1192.51489,463.07471,165.42267,1187.39941,502.26923,153.65839,1169.71228
6,0.042,323.21472,191.36385,1165.30957,346.73813,140.43141,1138.20483,390.63303,121.19624,1130.90735,447.1189,125.56468,1121.85974,402.1008,170.187,1192.33301,463.43423,165.08673,1186.80688,502.75006,153.48553,1168.54517
7,0.05,323.73624,191.31827,1165.30652,349.13318,140.68292,1137.71436,390.5517,120.83663,1130.31335,447.23932,125.97982,1121.39209,402.8461,170.06725,1191.59949,463.99423,165.37943,1186.54761,503.20618,152.9483,1168.05322
8,0.058,324.69366,189.58206,1164.6394,349.13318,140.68292,1137.71436,392.36212,122.91727,1129.19934,447.45245,125.55285,1120.62891,403.20111,169.96432,1190.97778,464.39279,165.8678,1186.46948,503.36057,153.36885,1167.66992
9,0.067,325.39651,189.93385,1165.13013,349.42755,140.81999,1137.14563,391.97934,121.48957,1129.38904,447.33347,125.14397,1120.20496,404.19977,170.01404,1190.04138,465.8056,166.05994,1186.02014,504.58917,153.69142,1167.87708
10,0.075,326.06769,189.81654,1164.50964,349.85947,140.64325,1136.849,392.68613,121.09166,1128.57678,449.44409,125.08591,1119.19482,404.66458,169.88557,1189.84912,465.78094,166.13425,1185.35034,505.49323,153.91769,1167.39539
11,0.083,326.92984,189.74474,1165.38843,351.74652,140.60555,1136.24866,393.53128,122.50568,1127.73364,450.22079,125.13191,1118.53735,405.57816,168.0647,1189.90869,467.21561,166.50365,1185.3208,506.48633,154.40778,1166.80566
12,0.092,326.7796,189.37025,1165.19458,351.58426,139.95116,1135.6543,393.99222,123.2533,1127.34827,450.58841,124.82417,1117.58801,405.66086,168.56912,1189.36731,467.63651,166.81093,1185.37598,506.32086,158.44925,1165.77161
13,0.1,327.14957,189.53279,1165.30249,351.38242,140.07976,1135.06335,394.62424,122.40967,1126.8811,451.5975,125.54164,1117.35767,405.81332,168.65399,1187.89001,467.76913,167.21413,1184.9408,507.45847,156.60878,1165.1145
14,0.108,327.0896,189.43427,1165.30225,351.38242,140.07976,1135.06335,394.79749,121.51557,1126.46838,451.63831,126.111,1116.68982,406.23337,167.85428,1187.80737,468.77161,166.86424,1185.198,507.84113,156.60165,1165.22461
15,0.117,327.19458,189.33307,1165.0365,351.38242,140.07976,1135.06335,394.81335,121.41682,1126.1228,452.32388,126.72589,1115.95544,406.42422,168.05911,1187.67554,469.09192,167.45526,1184.62756,508.07382,156.83818,1164.89478
16,0.125,327.24649,189.43776,1165.021,351.22031,139.42439,1134.4696,396.66125,122.59988,1126.11804,452.14865,126.66872,1115.71521,406.46289,167.71495,1187.35974,469.21423,167.85701,1183.71741,508.03638,157.0444,1164.05286
