Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,381.68408,328.66589,939.35968,397.21326,272.45261,926.00531,409.95377,247.91728,889.98486,422.3255,228.56024,852.90015,411.68097,320.23254,861.50262,409.09647,308.00732,803.15796,399.8078,288.02332,767.10791
2,0.008,381.69794,329.12439,939.15509,397.21326,272.45261,926.00531,410.24698,247.98772,889.88147,423.57141,228.42485,853.01343,411.68097,320.23254,861.50262,409.09647,308.00732,803.15796,399.84769,288.02301,766.79279
3,0.017,381.69794,329.12439,939.15509,397.44928,272.38495,926.07452,410.67181,248.16992,890.16315,422.5097,228.62625,852.29675,411.68097,320.23254,861.50262,409.09647,308.00732,803.15796,399.97083,288.1344,766.63263
4,0.025,381.69794,329.12439,939.15509,397.79901,272.46201,925.74988,410.67181,248.16992,890.16315,422.79568,228.59256,852.33545,411.68097,320.23254,861.50262,408.70032,308.52356,803.2973,399.80627,288.4024,766.38538
5,0.033,381.69794,329.12439,939.15509,397.13351,272.86444,925.77185,410.21228,248.20715,889.91547,422.79568,228.59256,852.33545,411.68097,320.23254,861.50262,408.70032,308.52356,803.2973,400.07635,288.06155,765.98682
6,0.042,381.69794,329.12439,939.15509,397.33698,272.86029,925.77258,410.38602,248.25258,889.87054,422.5097,228.62625,852.29675,411.68097,320.23254,861.50262,408.84079,308.4888,802.86047,399.80627,288.4024,766.38538
7,0.05,381.69794,329.12439,939.15509,397.33698,272.86029,925.77258,410.05176,248.3304,889.92828,423.09164,228.58788,852.38708,411.68097,320.23254,861.50262,408.70032,308.52356,803.2973,400.07635,288.06155,765.98682
8,0.058,381.69794,329.12439,939.15509,397.33698,272.86029,925.77258,409.89075,248.69217,889.95935,422.79568,228.59256,852.33545,411.68097,320.23254,861.50262,408.95517,308.62399,803.22974,400.07635,288.06155,765.98682
9,0.067,381.69794,329.12439,939.15509,397.33698,272.86029,925.77258,409.89075,248.69217,889.95935,422.79568,228.59256,852.33545,411.28867,321.06375,861.53699,408.70032,308.52356,803.2973,399.80627,288.4024,766.38538
10,0.075,381.69794,329.12439,939.15509,397.33698,272.86029,925.77258,410.2251,248.61429,889.90161,423.75574,228.49089,852.41016,411.28867,321.06375,861.53699,408.95517,308.62399,803.22974,399.53668,288.74271,766.78442
11,0.083,381.69794,329.12439,939.15509,397.33698,272.86029,925.77258,410.2251,248.61429,889.90161,422.79568,228.59256,852.33545,411.76633,321.61707,861.41553,408.84079,308.4888,802.86047,400.21967,288.66876,766.25958
12,0.092,381.69794,329.12439,939.15509,397.33698,272.86029,925.77258,409.89075,248.69217,889.95935,423.75574,228.49089,852.41016,411.28867,321.06375,861.53699,408.70032,308.52356,803.2973,400.07635,288.06155,765.98682
13,0.1,381.69794,329.12439,939.15509,397.33698,272.86029,925.77258,409.89075,248.69217,889.95935,422.79568,228.59256,852.33545,411.64792,321.47623,861.57654,408.70032,308.52356,803.2973,400.21967,288.66876,766.25958
14,0.108,381.31067,329.58908,939.22852,397.33698,272.86029,925.77258,410.2251,248.61429,889.90161,422.79568,228.59256,852.33545,411.64792,321.47623,861.57654,408.95517,308.62399,803.22974,399.53668,288.74271,766.78442
15,0.117,381.69794,329.12439,939.15509,397.33698,272.86029,925.77258,410.51086,248.53163,890.19415,423.75574,228.49089,852.41016,411.64792,321.47623,861.57654,408.70032,308.52356,803.2973,399.53668,288.74271,766.78442
16,0.125,381.69794,329.12439,939.15509,397.33698,272.86029,925.77258,410.51086,248.53163,890.19415,423.75574,228.49089,852.41016,411.64792,321.47623,861.57654,408.95517,308.62399,803.22974,400.33533,288.56848,766.4325
17,0.133,381.31067,329.58908,939.22852,396.98715,272.78326,926.09723,410.27713,248.49834,890.46851,423.75574,228.49089,852.41016,411.64792,321.47623,861.57654,409.07263,308.98105,803.43805,399.64676,288.55539,766.96271
18,0.142,381.31067,329.58908,939.22852,396.98715,272.78326,926.09723,410.27713,248.49834,890.46851,423.75574,228.49089,852.41016,411.64792,321.47623,861.57654,408.95517,308.62399,803.22974,399.64676,288.55539,766.96271
19,0.15,381.69794,329.12439,939.15509,396.98715,272.78326,926.09723,410.27713,248.49834,890.46851,423.83249,228.46997,852.70868,411.64792,321.47623,861.57654,409.29932,309.03952,803.36462,399.83124,288.24747,767.24457
20,0.158,381.31067,329.58908,939.22852,396.98715,272.78326,926.09723,410.36664,248.75365,890.65662,423.83249,228.46997,852.70868,411.64792,321.47623,861.57654,409.29932,309.03952,803.36462,399.83124,288.24747,767.24457
21,0.167,381.31067,329.58908,939.22852,396.98715,272.78326,926.09723,410.36664,248.75365,890.65662,423.83249,228.46997,852.70868,411.64792,321.47623,861.57654,409.29932,309.03952,803.36462,399.79059,288.20187,767.55353
22,0.175,381.31067,329.58908,939.22852,396.98715,272.78326,926.09723,410.36664,248.75365,890.65662,422.61145,228.52657,852.93878,411.64792,321.47623,861.57654,409.29932,309.03952,803.36462,399.79059,288.20187,767.55353
23,0.183,381.06818,329.62793,939.22217,396.98715,272.78326,926.09723,410.21783,248.66237,890.57379,423.57141,228.42485,853.01343,411.64792,321.47623,861.57654,409.07263,308.98105,803.43805,399.79059,288.20187,767.55353
24,0.192,381.06818,329.62793,939.22217,396.52557,273.18195,926.12024,410.21783,248.66237,890.57379,422.87256,228.57156,852.63409,412.24539,321.68967,862.39514,409.29932,309.03952,803.36462,399.79059,288.20187,767.55353
25,0.2,381.57379,329.11627,939.17889,396.98715,272.78326,926.09723,409.88351,248.74026,890.63147,422.78461,228.68048,853.138,411.66559,321.54456,862.08331,408.70032,308.52356,803.2973,399.68622,288.0798,767.75922
26,0.208,381.69794,329.12439,939.15509,396.98715,272.78326,926.09723,409.88351,248.74026,890.63147,422.61145,228.52657,852.93878,411.64792,321.47623,861.57654,409.07263,308.98105,803.43805,399.68622,288.0798,767.75922
27,0.217,381.57379,329.11627,939.17889,396.98715,272.78326,926.09723,410.27713,248.49834,890.46851,422.61145,228.52657,852.93878,412.05478,321.75165,861.83331,409.07263,308.98105,803.43805,399.68622,288.0798,767.75922
28,0.225,381.57379,329.11627,939.17889,396.98715,272.78326,926.09723,409.74481,248.6637,890.6084,422.25284,228.34825,853.12988,412.04019,320.64505,861.54218,409.07263,308.98105,803.43805,399.68622,288.0798,767.75922
29,0.233,381.43558,328.93951,939.36749,396.98715,272.78326,926.09723,409.95874,248.50726,890.59674,422.3255,228.56024,852.90015,412.04019,320.64505,861.54218,409.07263,308.98105,803.43805,399.68622,288.0798,767.75922
30,0.242,381.58289,328.97147,939.31775,396.85861,272.82294,926.0564,409.8334,248.56561,890.53607,422.15689,228.3067,853.1062,411.68097,320.23254,861.50262,409.07263,308.98105,803.43805,399.45383,287.80545,767.75818
31,0.25,381.58289,328.97147,939.31775,396.85861,272.82294,926.0564,410.31064,248.50029,890.22443,421.89267,228.3217,853.54413,411.68097,320.23254,861.50262,408.70032,308.52356,803.2973,399.45383,287.80545,767.75818
