Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,-1508.95227,308.38684,794.27496,-1469.93079,285.01773,793.89136,-1453.72888,289.33743,764.37878,-1424.49023,293.11786,732.26044,-1500.26636,323.53412,730.05841,-1496.51257,321.11563,676.96527,-1501.18616,314.74194,635.43085
2,0.008,-1506.32654,308.13458,794.10083,-1467.0094,285.13547,793.30743,-1448.53381,288.01642,763.13422,-1422.1781,294.37152,732.2691,-1497.0769,323.74652,729.3606,-1492.43713,321.52972,676.0495,-1499.30896,314.7894,635.03278
3,0.017,-1504.21301,308.05176,794.17145,-1464.38574,286.57678,793.07837,-1448.61707,292.10547,763.78223,-1419.66748,296.02594,732.33618,-1494.81714,324.12256,728.98468,-1491.30554,321.73093,675.82996,-1497.03784,315.06622,634.99921
4,0.025,-1500.698,308.00122,794.39777,-1461.77209,287.28271,793.5874,-1443.66443,289.81107,763.20477,-1417.45496,297.08072,732.31592,-1492.25903,325.18594,729.04407,-1488.08191,322.54965,675.42896,-1494.80432,315.02942,635.01355
5,0.033,-1497.67249,308.13657,794.16376,-1459.58459,289.14691,792.84082,-1439.50134,287.94833,763.17938,-1412.47717,295.15427,730.9353,-1488.49683,325.55289,729.08594,-1485.21167,323.27139,675.5329,-1491.46863,314.93506,635.02258
6,0.042,-1493.17224,309.3248,793.08173,-1455.53137,289.71857,793.10706,-1436.90979,289.24783,760.50006,-1410.07556,297.72809,731.19409,-1485.25073,326.04996,728.44379,-1481.38049,323.24097,675.12421,-1487.7063,316.74506,634.3844
7,0.05,-1489.59375,309.03601,793.27307,-1448.76038,283.6889,790.7207,-1432.71765,291.83704,761.48285,-1406.64331,297.55984,730.16815,-1482.86707,326.50525,728.30841,-1477.88843,323.8941,674.45013,-1484.5332,316.47836,633.93298
8,0.058,-1487.08691,309.62445,793.25134,-1445.03821,284.54138,791.0545,-1430.28882,292.06506,761.25311,-1403.60059,297.47507,728.84155,-1479.52344,327.32932,727.91028,-1475.88086,324.09778,674.18835,-1482.59875,317.27472,634.04327
9,0.067,-1481.78345,311.9527,792.34772,-1442.01636,285.76483,791.07025,-1426.89563,292.87546,758.96832,-1399.79004,299.74149,729.2511,-1475.07947,327.41907,727.78314,-1471.32312,324.9465,674.19434,-1479.93872,317.30212,633.82202
10,0.075,-1479.04834,311.90869,792.15167,-1437.37976,286.46661,789.95465,-1424.26025,297.05948,760.9635,-1395.81409,299.80783,727.99957,-1471.55542,328.48083,727.17212,-1467.96362,325.67133,673.87683,-1473.73889,318.92383,633.07275
