Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,727.6897,194.03293,955.99927,708.5946,155.10728,929.18579,742.95581,115.10378,914.80402,758.99829,84.10392,918.90582,798.48413,148.51285,946.48627,843.34766,134.53194,927.47156,877.86255,122.99099,912.31134
2,0.008,727.74585,194.31218,955.79669,708.44849,156.10829,929.39703,743.84503,115.29135,914.6615,758.99829,84.10392,918.90582,798.55487,148.82246,946.72211,843.58002,134.71179,927.33344,877.86255,122.99099,912.31134
3,0.017,727.74585,194.31218,955.79669,708.58344,155.71155,929.29608,743.84503,115.29135,914.6615,760.0556,83.7215,918.64105,798.91064,148.29179,946.39948,843.58002,134.71179,927.33344,877.86255,122.99099,912.31134
4,0.025,727.6897,194.03293,955.99927,708.74677,155.95459,929.34991,742.95581,115.10378,914.80402,760.74475,84.32635,919.05109,799.0083,148.08922,946.87817,843.58002,134.71179,927.33344,877.64703,123.33936,912.71948
5,0.033,727.6897,194.03293,955.99927,708.44849,156.10829,929.39703,742.95581,115.10378,914.80402,760.74475,84.32635,919.05109,799.00568,148.69896,946.76483,843.51984,134.79218,927.24927,877.54456,124.00773,912.75281
6,0.042,727.6897,194.03293,955.99927,708.74677,155.95459,929.34991,743.84503,115.29135,914.6615,760.74475,84.32635,919.05109,798.56915,149.62025,945.93152,843.51984,134.79218,927.24927,877.54456,124.00773,912.75281
7,0.05,727.74585,194.31218,955.79669,708.57501,156.25711,929.20648,743.84503,115.29135,914.6615,760.74475,84.32635,919.05109,798.38202,149.89427,946.27356,843.70624,134.75893,927.31128,877.54456,124.00773,912.75281
8,0.058,727.74585,194.31218,955.79669,708.69604,155.82822,929.13666,743.84503,115.29135,914.6615,760.74475,84.32635,919.05109,799.0083,148.08922,946.87817,843.6413,134.8302,927.23468,877.54456,124.00773,912.75281
9,0.067,727.6897,194.03293,955.99927,709.04639,156.80968,929.16644,743.84503,115.29135,914.6615,760.74475,84.32635,919.05109,799.01923,148.37376,947.24939,843.74078,135.21692,927.60577,877.54456,124.00773,912.75281
10,0.075,727.74585,194.31218,955.79669,709.1582,156.27934,929.13971,743.84503,115.29135,914.6615,759.40698,83.60233,921.55597,799.06885,149.73239,947.00842,843.90302,135.15515,927.57874,877.54456,124.00773,912.75281
11,0.083,727.74585,194.31218,955.79669,709.1582,156.27934,929.13971,743.84503,115.29135,914.6615,760.34058,83.05885,921.3678,798.5387,149.86241,946.07684,843.69873,135.48579,927.82538,877.54456,124.00773,912.75281
