Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,1086.31836,216.82921,1226.97388,1067.6969,170.84724,1223.5459,1095.75977,126.01257,1226.37878,1112.04846,100.64441,1243.03821,1160.4071,170.40434,1218.94824,1199.85864,150.05066,1193.77551,1229.03528,134.1758,1174.7323
2,0.008,1086.31836,216.82921,1226.97388,1067.6969,170.84724,1223.5459,1095.04114,126.1149,1226.37439,1112.04846,100.64441,1243.03821,1160.4071,170.40434,1218.94824,1199.95618,149.84283,1193.84412,1228.73999,134.02039,1174.60217
3,0.017,1086.1731,216.8801,1227.22302,1068.10828,170.2507,1223.3595,1095.75977,126.01257,1226.37878,1112.04846,100.64441,1243.03821,1160.4071,170.40434,1218.94824,1199.89209,149.72414,1193.97668,1228.73999,134.02039,1174.60217
4,0.025,1086.60706,216.65535,1227.26379,1068.10828,170.2507,1223.3595,1095.04114,126.1149,1226.37439,1112.34631,100.43044,1243.16479,1160.37622,170.15846,1218.8075,1199.9563,149.35674,1194.06018,1228.5343,133.85257,1174.76172
5,0.033,1086.60706,216.65535,1227.26379,1067.84924,170.18216,1223.10229,1095.48279,125.87845,1226.23022,1112.34631,100.43044,1243.16479,1159.46106,170.0125,1218.77795,1199.58044,149.32799,1193.76392,1228.83069,133.22864,1174.54822
6,0.042,1086.39075,216.44533,1226.98474,1067.84924,170.18216,1223.10229,1095.27893,125.4957,1226.02112,1112.34631,100.43044,1243.16479,1160.15332,169.95522,1218.79944,1199.03699,149.10237,1193.70532,1228.83069,133.22864,1174.54822
7,0.05,1086.61877,215.55138,1226.25818,1067.84924,170.18216,1223.10229,1094.83728,125.7321,1226.16528,1112.72876,99.99323,1242.95264,1160.50159,169.31076,1218.91943,1199.06531,148.61139,1193.61475,1228.69287,133.20822,1174.26733
8,0.058,1086.40076,215.41925,1226.10718,1067.84924,170.18216,1223.10229,1094.83728,125.7321,1226.16528,1112.72876,99.99323,1242.95264,1160.50159,169.31076,1218.91943,1199.09155,148.40041,1193.45422,1228.78784,132.55203,1174.22961
9,0.067,1086.54358,215.87646,1226.88428,1067.95801,170.55275,1223.48596,1095.27893,125.4957,1226.02112,1112.72876,99.99323,1242.95264,1160.50159,169.31076,1218.91943,1199.21997,148.31216,1193.34998,1228.78784,132.55203,1174.22961
10,0.075,1086.85559,215.89922,1227.05042,1067.84924,170.18216,1223.10229,1095.27893,125.4957,1226.02112,1112.72876,99.99323,1242.95264,1160.75085,169.24875,1218.67151,1199.21997,148.31216,1193.34998,1229.70251,132.61757,1173.78979
11,0.083,1086.97717,214.95724,1226.33582,1067.84924,170.18216,1223.10229,1095.35193,125.2473,1225.96057,1112.72876,99.99323,1242.95264,1160.75085,169.24875,1218.67151,1199.21997,148.31216,1193.34998,1229.70251,132.61757,1173.78979
12,0.092,1086.97717,214.95724,1226.33582,1067.84924,170.18216,1223.10229,1095.35193,125.2473,1225.96057,1112.72876,99.99323,1242.95264,1160.75085,169.24875,1218.67151,1199.21997,148.31216,1193.34998,1230.05188,131.98009,1173.90674
13,0.1,1086.97717,214.95724,1226.33582,1068.10828,170.2507,1223.3595,1095.35193,125.2473,1225.96057,1112.72876,99.99323,1242.95264,1160.75085,169.24875,1218.67151,1199.21997,148.31216,1193.34998,1230.05188,131.98009,1173.90674
14,0.108,1087.17273,215.83684,1226.87549,1068.10828,170.2507,1223.3595,1095.35193,125.2473,1225.96057,1112.72876,99.99323,1242.95264,1160.75085,169.24875,1218.67151,1199.84216,148.57484,1193.76575,1230.05188,131.98009,1173.90674
15,0.117,1087.05835,215.93828,1227.00366,1068.10828,170.2507,1223.3595,1095.55566,125.63006,1226.16968,1112.72876,99.99323,1242.95264,1160.72437,169.51401,1218.92749,1200.27136,148.95505,1193.85681,1230.14343,131.97357,1174.11572
