Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,32.90496,322.5159,613.61993,43.2239,254.05379,629.28467,82.6847,223.99939,628.97607,119.08698,200.58002,612.98987,125.37408,288.34839,603.46985,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
2,0.008,32.90496,322.5159,613.61993,42.8731,253.7265,629.12952,82.36692,223.41098,628.38824,119.24357,200.17386,612.6076,125.58293,288.15707,603.68073,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
3,0.017,32.90496,322.5159,613.61993,44.00594,254.31036,629.6994,82.1055,223.08133,628.2652,117.92535,199.74307,612.00836,125.41251,288.29568,603.59192,156.36174,242.66223,573.99585,139.87497,195.20998,550.70117
4,0.025,32.90496,322.5159,613.61993,42.86179,253.59145,629.07336,82.36692,223.41098,628.38824,119.08698,200.58002,612.98987,124.65135,288.17825,603.52161,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
5,0.033,32.90496,322.5159,613.61993,44.00594,254.31036,629.6994,82.36692,223.41098,628.38824,117.93862,200.21661,612.24677,125.02856,288.26825,603.90027,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
6,0.042,32.90496,322.5159,613.61993,43.70844,254.17656,629.60156,82.6847,223.99939,628.97607,119.24357,200.17386,612.6076,125.02856,288.26825,603.90027,154.5999,242.29196,573.61694,139.87497,195.20998,550.70117
7,0.05,32.90496,322.5159,613.61993,42.86179,253.59145,629.07336,82.36692,223.41098,628.38824,119.02238,200.05458,612.74005,124.61789,288.2431,603.41058,154.5999,242.29196,573.61694,139.87497,195.20998,550.70117
8,0.058,32.90496,322.5159,613.61993,43.20394,253.76779,629.19202,82.36692,223.41098,628.38824,119.08698,200.58002,612.98987,125.11658,288.42538,603.62341,156.12082,243.47366,574.62231,139.87497,195.20998,550.70117
9,0.067,32.90496,322.5159,613.61993,42.89263,253.92081,629.34906,82.36692,223.41098,628.38824,119.02238,200.05458,612.74005,125.28697,288.28683,603.71222,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
10,0.075,32.90496,322.5159,613.61993,43.20394,253.76779,629.19202,82.36692,223.41098,628.38824,119.08698,200.58002,612.98987,125.32545,288.23407,603.83423,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
11,0.083,32.90496,322.5159,613.61993,43.20394,253.76779,629.19202,82.36692,223.41098,628.38824,118.86584,200.46074,613.12225,124.73093,287.91611,603.75946,156.12082,243.47366,574.62231,139.87497,195.20998,550.70117
12,0.092,32.90496,322.5159,613.61993,43.20394,253.76779,629.19202,82.6847,223.99939,628.97607,119.08698,200.58002,612.98987,124.69508,287.92331,603.755,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
13,0.1,32.90496,322.5159,613.61993,42.89263,253.92081,629.34906,82.6847,223.99939,628.97607,118.7308,200.19801,612.5744,125.19896,288.1297,603.98914,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
14,0.108,32.9724,323.1871,614.19354,43.20394,253.76779,629.19202,82.36692,223.41098,628.38824,119.20698,200.43802,613.65894,125.19896,288.1297,603.98914,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
15,0.117,32.90496,322.5159,613.61993,43.20394,253.76779,629.19202,82.6847,223.99939,628.97607,118.7308,200.19801,612.5744,125.24654,288.12091,603.99353,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
16,0.125,32.69858,322.71124,614.00708,44.00594,254.31036,629.6994,82.36692,223.41098,628.38824,119.08698,200.58002,612.98987,125.33454,288.27811,603.71661,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
17,0.133,33.18483,322.9296,613.79333,43.20394,253.76779,629.19202,82.6847,223.99939,628.97607,119.08698,200.58002,612.98987,125.67097,288.31418,603.40381,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
18,0.142,33.18483,322.9296,613.79333,43.68643,253.70261,629.09448,82.36692,223.41098,628.38824,119.08698,200.58002,612.98987,125.41346,288.39124,603.55737,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
19,0.15,33.18483,322.9296,613.79333,43.20394,253.76779,629.19202,82.36692,223.41098,628.38824,119.08698,200.58002,612.98987,125.41346,288.39124,603.55737,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
20,0.158,32.90496,322.5159,613.61993,43.20394,253.76779,629.19202,82.6847,223.99939,628.97607,117.93862,200.21661,612.24677,125.02657,288.19199,603.2262,156.40094,242.78123,574.06683,139.71788,195.03683,550.57434
21,0.167,32.90496,322.5159,613.61993,44.45609,254.21092,629.58881,82.36692,223.41098,628.38824,118.12946,199.82353,611.88525,124.97175,288.00574,603.48181,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
22,0.175,32.90496,322.5159,613.61993,44.00594,254.31036,629.6994,82.6847,223.99939,628.97607,117.93862,200.21661,612.24677,125.71707,288.20941,603.60144,156.40094,242.78123,574.06683,139.87497,195.20998,550.70117
23,0.183,32.90496,322.5159,613.61993,44.00594,254.31036,629.6994,82.1055,223.08133,628.2652,118.12946,199.82353,611.88525,125.06886,288.06897,603.40765,156.36174,242.66223,573.99585,139.71788,195.03683,550.57434
24,0.192,32.90496,322.5159,613.61993,44.45609,254.21092,629.58881,82.36692,223.41098,628.38824,119.04292,200.05421,612.14606,125.71707,288.20941,603.60144,156.40094,242.78123,574.06683,139.71788,195.03683,550.57434
25,0.2,32.73656,322.59363,613.93317,43.20394,253.76779,629.19202,82.36692,223.41098,628.38824,119.04292,200.05421,612.14606,125.67097,288.31418,603.40381,156.40094,242.78123,574.06683,139.79565,195.20599,550.375
26,0.208,33.18483,322.9296,613.79333,43.68643,253.70261,629.09448,82.36692,223.41098,628.38824,119.04292,200.05421,612.14606,125.1237,288.25519,603.1521,156.64293,242.78456,573.67877,139.71788,195.03683,550.57434
27,0.217,33.18483,322.9296,613.79333,43.20394,253.76779,629.19202,82.6847,223.99939,628.97607,118.88639,200.46024,612.52832,125.1237,288.25519,603.1521,156.40094,242.78123,574.06683,139.79565,195.20599,550.375
28,0.225,33.18483,322.9296,613.79333,43.68643,253.70261,629.09448,82.36692,223.41098,628.38824,118.88639,200.46024,612.52832,125.02657,288.19199,603.2262,156.40094,242.78123,574.06683,139.71788,195.03683,550.57434
29,0.233,33.18483,322.9296,613.79333,43.68643,253.70261,629.09448,82.36692,223.41098,628.38824,118.53008,200.07841,612.11273,125.80513,288.36649,603.32452,156.64293,242.78456,573.67877,139.79565,195.20599,550.375
30,0.242,33.18483,322.9296,613.79333,44.45609,254.21092,629.58881,82.36692,223.41098,628.38824,118.7308,200.19801,612.5744,125.7298,287.59512,603.70917,156.64293,242.78456,573.67877,139.96266,195.37967,550.5426
31,0.25,32.90496,322.5159,613.61993,43.68643,253.70261,629.09448,82.85852,222.6788,628.20844,118.85775,199.66397,611.74182,125.08897,287.49759,603.55316,156.64293,242.78456,573.67877,139.79565,195.20599,550.375
32,0.258,32.90496,322.5159,613.61993,44.45609,254.21092,629.58881,82.6847,223.99939,628.97607,117.99097,199.69606,611.48083,125.06886,288.06897,603.40765,156.64293,242.78456,573.67877,139.79565,195.20599,550.375
