Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,407.05273,269.10989,1299.20081,373.50705,235.18245,1339.47693,375.07141,204.97981,1369.1189,371.70984,179.85756,1400.33057,428.49399,160.83684,1321.80273,421.15463,107.69986,1313.07556,398.58185,61.79072,1310.75842
2,0.008,407.05273,269.10989,1299.20081,373.53217,234.92458,1338.82373,375.07141,204.97981,1369.1189,371.70984,179.85756,1400.33057,428.51587,161.19341,1322.24402,422.68555,108.17232,1314.97986,398.56229,62.40244,1311.27393
3,0.017,406.94864,269.354,1299.40637,373.32797,235.20081,1339.85669,375.27481,205.15335,1369.25757,372.48837,180.25493,1400.73682,429.26984,161.13202,1322.26331,422.90988,108.23468,1315.22534,398.62198,62.08329,1311.90173
4,0.025,406.92297,269.13828,1299.50159,373.17474,235.00829,1339.38745,375.27481,205.15335,1369.25757,372.04169,180.65941,1400.82458,428.90329,161.34302,1322.68262,423.13443,108.29669,1315.47107,399.46347,62.47343,1312.02942
5,0.033,406.94864,269.354,1299.40637,373.69229,235.22797,1339.91748,375.27481,205.15335,1369.25757,372.04169,180.65941,1400.82458,429.65707,161.28185,1322.7019,422.88654,108.05946,1316.50842,399.4075,62.76784,1312.06714
6,0.042,406.94864,269.354,1299.40637,373.69229,235.22797,1339.91748,375.27481,205.15335,1369.25757,372.51505,180.95863,1400.92017,428.90329,161.34302,1322.68262,422.90948,108.29893,1316.36353,400.42688,62.0048,1312.60547
7,0.05,406.92297,269.13828,1299.50159,373.69229,235.22797,1339.91748,375.27481,205.15335,1369.25757,372.25806,181.71661,1401.38867,428.90329,161.34302,1322.68262,422.88654,108.05946,1316.50842,400.64478,62.12597,1312.74597
8,0.058,406.92297,269.13828,1299.50159,373.69229,235.22797,1339.91748,375.27481,205.15335,1369.25757,372.25806,181.71661,1401.38867,429.92319,161.49852,1323.00293,422.88654,108.05946,1316.50842,400.64478,62.12597,1312.74597
9,0.067,406.94864,269.354,1299.40637,373.61081,235.3455,1340.22266,375.47519,205.2245,1369.53918,372.38669,181.67485,1401.78528,428.90329,161.34302,1322.68262,423.39145,108.72883,1316.39978,400.64478,62.12597,1312.74597
10,0.075,406.92297,269.13828,1299.50159,373.61081,235.3455,1340.22266,375.8158,205.6915,1369.53003,372.38669,181.67485,1401.78528,429.92319,161.49852,1323.00293,423.39145,108.72883,1316.39978,400.64478,62.12597,1312.74597
11,0.083,407.03632,269.32095,1299.67432,373.69229,235.22797,1339.91748,375.8158,205.6915,1369.53003,372.38669,181.67485,1401.78528,428.90329,161.34302,1322.68262,423.39145,108.72883,1316.39978,399.81583,62.57248,1312.40662
12,0.092,406.87061,269.81378,1299.51697,373.69229,235.22797,1339.91748,375.8158,205.6915,1369.53003,372.7435,181.65935,1401.95703,428.90329,161.34302,1322.68262,422.88654,108.05946,1316.50842,399.6701,63.16206,1312.09241
13,0.1,406.87061,269.81378,1299.51697,373.69229,235.22797,1339.91748,375.61227,205.51814,1369.39148,372.38669,181.67485,1401.78528,429.65707,161.28185,1322.7019,422.88654,108.05946,1316.50842,399.50131,62.67941,1311.92456
14,0.108,406.87061,269.81378,1299.51697,373.61081,235.3455,1340.22266,375.61227,205.51814,1369.39148,372.62448,181.15846,1401.62524,428.90329,161.34302,1322.68262,423.13443,108.29669,1315.47107,399.50131,62.67941,1311.92456
15,0.117,406.94864,269.354,1299.40637,373.61081,235.3455,1340.22266,375.61548,205.62025,1369.24841,372.96158,180.55417,1400.8324,430.22421,161.20456,1322.44434,422.90988,108.23468,1315.22534,399.21759,62.47493,1311.30225
16,0.125,406.94864,269.354,1299.40637,373.69229,235.22797,1339.91748,375.61548,205.62025,1369.24841,372.96158,180.55417,1400.8324,429.00381,160.91504,1321.96265,422.21774,106.96307,1312.91833,399.5386,61.91341,1310.44043
17,0.133,406.94864,269.354,1299.40637,373.61081,235.3455,1340.22266,375.61548,205.62025,1369.24841,372.89282,180.1342,1400.53235,428.64243,160.75664,1321.40015,422.21774,106.96307,1312.91833,399.18088,61.6487,1310.3833
18,0.142,406.94864,269.354,1299.40637,373.61081,235.3455,1340.22266,375.27481,205.15335,1369.25757,372.13507,179.76755,1400.11499,428.46985,160.89252,1320.92163,422.23291,107.15633,1312.83398,398.79666,61.99034,1309.64087
19,0.15,407.05273,269.10989,1299.20081,373.69229,235.22797,1339.91748,375.07141,204.97981,1369.1189,372.13507,179.76755,1400.11499,428.44809,160.53516,1320.48096,420.92908,107.46117,1313.07996,398.34738,61.94401,1309.16663
20,0.158,407.05273,269.10989,1299.20081,373.50705,235.18245,1339.47693,375.07141,204.97981,1369.1189,372.13507,179.76755,1400.11499,428.22449,159.83702,1320.99048,422.44626,106.66458,1312.67627,398.06064,61.64003,1309.23608
21,0.167,407.05273,269.10989,1299.20081,373.32797,235.20081,1339.85669,375.12308,204.75854,1368.56812,372.13507,179.76755,1400.11499,428.44809,160.53516,1320.48096,422.44626,106.66458,1312.67627,398.15036,61.62445,1308.75146
22,0.175,407.05273,269.10989,1299.20081,373.50705,235.18245,1339.47693,375.12308,204.75854,1368.56812,372.13507,179.76755,1400.11499,428.21924,160.30275,1321.41455,422.44626,106.66458,1312.67627,398.2764,61.85609,1308.58167
23,0.183,407.05273,269.10989,1299.20081,373.50705,235.18245,1339.47693,375.07141,204.97981,1369.1189,372.13507,179.76755,1400.11499,428.21164,160.03622,1320.97363,421.03653,107.03684,1313.00891,398.181,61.69903,1308.79456
