Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,75.03694,235.38141,665.89148,55.89762,196.97527,689.98773,46.82287,139.36031,691.83545,86.49887,90.57819,669.16925,140.07822,183.52126,656.06274,142.90343,124.45152,632.27954,137.61143,80.52075,606.09882
2,0.008,74.53804,235.44409,665.78467,55.89762,196.97527,689.98773,47.16231,139.50761,691.98248,86.49887,90.57819,669.16925,140.07822,183.52126,656.06274,142.90343,124.45152,632.27954,137.61143,80.52075,606.09882
3,0.017,74.53446,235.58878,665.89594,55.89762,196.97527,689.98773,47.15681,139.40547,692.36798,86.76923,90.35896,669.03387,140.07822,183.52126,656.06274,142.90343,124.45152,632.27954,137.61143,80.52075,606.09882
4,0.025,74.53804,235.44409,665.78467,55.89762,196.97527,689.98773,46.81742,139.25815,692.22095,86.76923,90.35896,669.03387,140.43303,183.25272,655.95947,142.91408,124.65653,632.53082,137.61143,80.52075,606.09882
5,0.033,74.53446,235.58878,665.89594,55.89762,196.97527,689.98773,47.16231,139.50761,691.98248,86.49887,90.57819,669.16925,140.07822,183.52126,656.06274,142.90343,124.45152,632.27954,137.61143,80.52075,606.09882
6,0.042,74.53804,235.44409,665.78467,56.22145,197.13002,689.84155,47.16231,139.50761,691.98248,86.68429,90.2327,669.40546,140.07822,183.52126,656.06274,142.90343,124.45152,632.27954,137.61143,80.52075,606.09882
7,0.05,74.53446,235.58878,665.89594,56.34964,196.28714,690.82129,47.15681,139.40547,692.36798,86.68429,90.2327,669.40546,140.07822,183.52126,656.06274,142.91408,124.65653,632.53082,137.61143,80.52075,606.09882
8,0.058,74.53804,235.44409,665.78467,55.89762,196.97527,689.98773,47.15681,139.40547,692.36798,86.76923,90.35896,669.03387,140.43303,183.25272,655.95947,142.90343,124.45152,632.27954,137.61143,80.52075,606.09882
9,0.067,74.70994,235.55467,665.87427,55.89762,196.97527,689.98773,46.56297,139.34572,692.29907,86.76923,90.35896,669.03387,140.07822,183.52126,656.06274,142.90343,124.45152,632.27954,137.61143,80.52075,606.09882
10,0.075,74.53804,235.44409,665.78467,55.89762,196.97527,689.98773,46.56841,139.44786,691.91351,86.68429,90.2327,669.40546,140.54958,184.15416,655.3692,142.90343,124.45152,632.27954,137.61143,80.52075,606.09882
11,0.083,74.53446,235.58878,665.89594,55.89762,196.97527,689.98773,47.12642,138.81551,692.28192,86.49887,90.57819,669.16925,140.54958,184.15416,655.3692,142.90343,124.45152,632.27954,137.51585,80.29464,605.76166
12,0.092,74.53804,235.44409,665.78467,56.34964,196.28714,690.82129,46.40188,139.13843,691.86572,86.95461,90.01348,669.27008,140.07822,183.52126,656.06274,142.91408,124.65653,632.53082,137.61143,80.52075,606.09882
13,0.1,74.53446,235.58878,665.89594,56.34964,196.28714,690.82129,47.16231,139.50761,691.98248,86.76923,90.35896,669.03387,140.50775,182.89505,656.20886,142.91408,124.65653,632.53082,137.61143,80.52075,606.09882
14,0.108,74.53804,235.44409,665.78467,56.34964,196.28714,690.82129,46.60181,138.83569,691.80817,86.76923,90.35896,669.03387,140.50775,182.89505,656.20886,142.90343,124.45152,632.27954,137.61143,80.52075,606.09882
15,0.117,74.53446,235.58878,665.89594,56.34964,196.28714,690.82129,46.87748,139.00516,691.97455,86.68429,90.2327,669.40546,140.95702,183.49907,655.54578,142.90343,124.45152,632.27954,137.61143,80.52075,606.09882
16,0.125,74.41081,235.45496,665.81458,56.34964,196.28714,690.82129,46.67212,139.20575,692.41754,86.49887,90.57819,669.16925,140.50775,182.89505,656.20886,142.90343,124.45152,632.27954,137.61143,80.52075,606.09882
17,0.133,74.53446,235.58878,665.89594,56.34964,196.28714,690.82129,47.15681,139.40547,692.36798,86.76923,90.35896,669.03387,140.50775,182.89505,656.20886,142.91408,124.65653,632.53082,137.61143,80.52075,606.09882
18,0.142,74.53804,235.44409,665.78467,56.34964,196.28714,690.82129,47.15681,139.40547,692.36798,86.95461,90.01348,669.27008,140.50775,182.89505,656.20886,142.91408,124.65653,632.53082,137.61143,80.52075,606.09882
19,0.15,74.53446,235.58878,665.89594,56.34964,196.28714,690.82129,47.16231,139.50761,691.98248,86.68429,90.2327,669.40546,140.54958,184.15416,655.3692,142.99532,124.64717,632.02289,137.61143,80.52075,606.09882
20,0.158,74.53804,235.44409,665.78467,56.34964,196.28714,690.82129,46.56841,139.44786,691.91351,86.49887,90.57819,669.16925,140.54958,184.15416,655.3692,143.006,124.85219,632.27417,137.61143,80.52075,606.09882
21,0.167,74.3985,235.5914,665.93323,56.37799,196.39223,690.64545,46.56841,139.44786,691.91351,86.49887,90.57819,669.16925,140.07822,183.52126,656.06274,142.91408,124.65653,632.53082,137.61143,80.52075,606.09882
22,0.175,74.53446,235.58878,665.89594,56.37799,196.39223,690.64545,46.56841,139.44786,691.91351,86.49887,90.57819,669.16925,140.07822,183.52126,656.06274,143.006,124.85219,632.27417,137.61143,80.52075,606.09882
23,0.183,74.53446,235.58878,665.89594,56.34964,196.28714,690.82129,46.56841,139.44786,691.91351,86.49887,90.57819,669.16925,140.07822,183.52126,656.06274,142.91408,124.65653,632.53082,137.61143,80.52075,606.09882
