Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,-1293.81604,281.59344,854.95758,-1281.15356,233.69228,846.15063,-1291.10767,198.83186,798.34143,-1289.05261,204.80196,734.1131,-1278.69214,294.86987,779.56091,-1294.09961,277.29184,724.15277,-1318.96094,259.94363,680.76868
2,0.008,-1290.90161,282.67941,854.19073,-1281.03638,233.88943,847.02997,-1285.62341,199.52521,798.20953,-1280.94971,204.41435,735.77765,-1272.56543,295.46967,779.97876,-1286.69604,277.43069,723.97931,-1313.11182,259.87064,680.85199
3,0.017,-1283.96143,280.45618,854.67706,-1270.19006,235.58588,847.72784,-1282.17358,198.33064,798.4823,-1279.30798,205.60883,735.3728,-1268.1554,295.58551,779.53687,-1282.20483,277.41949,724.13873,-1307.75342,259.90207,680.52411
4,0.025,-1280.09631,284.21216,854.14423,-1268.37585,234.09113,848.20813,-1276.703,199.25343,797.8913,-1268.52795,203.44337,736.59479,-1263.23547,296.35107,780.92285,-1277.25525,276.4321,723.78888,-1302.05249,259.87253,680.99927
5,0.033,-1274.05066,282.75381,854.76569,-1263.4248,234.82542,848.74152,-1271.23035,200.36914,797.95563,-1264.25403,204.4832,737.08887,-1256.24353,296.1384,780.28375,-1271.6554,278.02649,723.48419,-1298.33679,261.12283,680.24725
6,0.042,-1268.15259,281.25626,854.79791,-1255.82544,231.4856,846.96014,-1267.48071,200.40413,797.85156,-1263.55859,204.37756,735.85706,-1253.74182,296.95728,779.46326,-1267.82751,277.72519,724.01123,-1292.34619,259.74664,680.35199
7,0.05,-1264.86804,282.03159,853.68909,-1252.95862,234.35081,847.3692,-1262.63916,199.95396,797.28796,-1254.5061,205.06566,735.19836,-1247.56335,294.44196,779.88147,-1264.21936,277.20749,723.89502,-1288.78333,260.87277,680.01776
8,0.058,-1258.43872,280.66934,853.92224,-1245.74731,233.88223,847.4671,-1254.73022,199.32927,796.6601,-1253.32385,206.07108,735.57037,-1242.4397,295.89035,779.28833,-1258.58691,278.74985,723.237,-1282.70886,260.13589,679.5744
9,0.067,-1255.16113,283.1929,853.95776,-1246.63916,233.55753,846.72742,-1253.17639,200.1523,797.03552,-1246.98303,204.17422,735.51587,-1238.03125,296.33704,779.55878,-1251.72424,275.68579,723.5863,-1279.85669,261.36673,679.74829
10,0.075,-1248.91003,282.04779,853.65625,-1239.24622,232.03014,846.4632,-1247.00403,198.35065,797.40314,-1244.26465,205.53885,734.74017,-1233.49756,295.29987,778.9671,-1249.07324,277.02411,723.11835,-1275.00281,260.14713,679.98242
11,0.083,-1246.04285,283.37183,853.51208,-1235.11914,235.54192,846.46326,-1245.45959,199.07445,797.93811,-1238.22156,204.05859,734.38263,-1228.63489,294.46313,777.84747,-1242.87476,276.52267,722.961,-1269.86084,261.64172,679.04828
12,0.092,-1239.58081,281.48947,853.07166,-1229.57263,233.44151,845.84564,-1237.89673,197.96805,796.91205,-1234.55664,206.01157,733.87079,-1224.03833,295.11725,777.81519,-1240.11816,278.53244,722.95105,-1265.13257,260.49796,678.63898
13,0.1,-1237.38635,282.95056,852.88239,-1227.94824,235.11946,845.7984,-1236.59839,198.38348,796.367,-1228.41992,203.68356,734.16333,-1220.18567,294.73816,776.94934,-1233.87952,276.09995,721.83386,-1262.50989,260.61612,679.35956
14,0.108,-1231.12964,281.55124,853.26825,-1219.81445,233.31519,843.90039,-1229.22766,198.1189,795.32404,-1227.67151,204.12184,734.05939,-1215.28088,294.84457,777.34192,-1230.96655,278.13843,721.66235,-1256.59192,261.01721,678.7594
15,0.117,-1225.12024,281.46829,852.17194,-1212.46265,232.06389,841.78522,-1226.08203,200.62732,792.81787,-1219.56812,204.85577,734.21082,-1211.46069,295.07611,776.8299,-1225.86792,276.0163,720.99286,-1253.33618,261.6575,678.20807
16,0.125,-1221.33008,280.71249,851.44806,-1211.52539,233.08308,842.98102,-1220.48669,197.99699,792.67285,-1218.36511,205.60724,734.05951,-1204.93811,294.20248,776.47833,-1221.35693,276.42471,720.07697,-1246.72998,258.92508,676.74396
17,0.133,-1215.31323,279.73001,851.87769,-1208.32642,232.37077,841.99561,-1215.7605,198.17435,792.90234,-1210.87537,203.63177,731.97614,-1202.97144,295.11966,776.58075,-1217.12073,275.65372,719.46912,-1244.2605,260.20877,676.06952
18,0.142,-1213.01746,281.39996,850.7146,-1203.81653,231.8795,842.74976,-1212.4707,197.8479,792.62555,-1210.17322,203.19762,729.89508,-1196.25061,294.30621,776.14343,-1212.25818,275.40277,718.89655,-1238.43701,259.63837,675.68616
19,0.15,-1208.01025,280.2298,848.75946,-1196.03479,230.13667,841.57629,-1207.08508,198.73149,792.19385,-1203.85657,202.26797,730.18988,-1191.64404,291.7984,775.04907,-1208.17505,275.5069,718.44861,-1236.01892,260.41895,674.65161
