Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,-85.69427,156.31296,576.48578,-104.21723,107.5144,603.97253,-65.93792,92.36546,621.75903,-12.60646,73.45535,593.88812,-13.89769,141.64319,574.10327,5.56637,87.40672,567.901,-3.81812,37.27569,553.80048
2,0.008,-85.64841,155.9296,576.51221,-104.20442,106.78485,603.49707,-65.63824,92.67616,621.65668,-12.4251,73.49957,593.78143,-13.8375,140.8788,573.79968,5.56637,87.40672,567.901,-4.28052,37.16972,553.70245
3,0.017,-85.64841,155.9296,576.51221,-104.20442,106.78485,603.49707,-65.09378,92.8239,621.00348,-12.84905,74.55238,593.68372,-13.82891,140.87642,573.9964,5.56637,87.40672,567.901,-3.81812,37.27569,553.80048
4,0.025,-85.64841,155.9296,576.51221,-104.20442,106.78485,603.49707,-64.88898,92.74096,620.89429,-12.35541,74.96495,593.27875,-13.82891,140.87642,573.9964,5.08131,87.96793,567.93292,-4.28052,37.16972,553.70245
5,0.033,-85.64841,155.9296,576.51221,-104.20442,106.78485,603.49707,-64.88898,92.74096,620.89429,-12.07584,75.44131,592.62231,-13.73536,141.13918,574.14636,5.08131,87.96793,567.93292,-4.28052,37.16972,553.70245
6,0.042,-85.64841,155.9296,576.51221,-104.20442,106.78485,603.49707,-64.51611,92.90963,620.76068,-11.37681,75.38729,592.62836,-13.90627,141.64557,573.90656,5.08131,87.96793,567.93292,-4.28052,37.16972,553.70245
7,0.05,-85.64841,155.9296,576.51221,-104.20442,106.78485,603.49707,-64.28716,93.11265,620.08081,-11.37681,75.38729,592.62836,-14.07099,141.60803,573.80536,5.08131,87.96793,567.93292,-4.28052,37.16972,553.70245
8,0.058,-85.64841,155.9296,576.51221,-104.20442,106.78485,603.49707,-63.94214,93.96261,620.078,-11.16641,75.87418,592.08893,-14.0624,141.60565,574.00214,4.80976,88.10667,567.8537,-3.81812,37.27569,553.80048
9,0.067,-85.64841,155.9296,576.51221,-103.74877,107.17839,603.41174,-64.0842,93.79653,619.89728,-11.16641,75.87418,592.08893,-14.07099,141.60803,573.80536,4.80976,88.10667,567.8537,-4.28052,37.16972,553.70245
10,0.075,-85.64841,155.9296,576.51221,-103.74877,107.17839,603.41174,-63.62156,93.54185,619.83539,-11.29952,76.06084,592.13629,-14.07099,141.60803,573.80536,4.80976,88.10667,567.8537,-3.81812,37.27569,553.80048
11,0.083,-85.64841,155.9296,576.51221,-103.56022,107.46193,603.24628,-63.4389,93.59836,619.94867,-11.3321,76.0703,591.66833,-13.90627,141.64557,573.90656,4.37198,88.51739,567.51288,-4.28052,37.16972,553.70245
12,0.092,-85.15658,156.69705,576.79651,-103.56022,107.46193,603.24628,-63.29684,93.76443,620.12939,-11.3321,76.0703,591.66833,-14.07099,141.60803,573.80536,4.28813,88.88098,567.10248,-4.28052,37.16972,553.70245
13,0.1,-85.15658,156.69705,576.79651,-103.56022,107.46193,603.24628,-63.47951,93.70796,620.01611,-11.3321,76.0703,591.66833,-13.90909,141.89838,573.70471,4.40808,89.11256,566.89624,-3.92756,37.91449,553.61749
14,0.108,-85.15658,156.69705,576.79651,-103.56022,107.46193,603.24628,-63.29684,93.76443,620.12939,-11.13795,76.36228,591.81134,-13.90909,141.89838,573.70471,4.40808,89.11256,566.89624,-3.92756,37.91449,553.61749
15,0.117,-85.36309,156.35173,576.5202,-103.56022,107.46193,603.24628,-63.32053,93.95781,619.94678,-11.13795,76.36228,591.81134,-13.74438,141.93591,573.80591,4.40808,89.11256,566.89624,-3.92756,37.91449,553.61749
