Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,224.45621,415.60764,1138.54883,268.7616,374.28046,1104.42651,323.13275,370.93555,1103.28735,377.33246,383.08301,1096.39404,309.77689,456.67126,1171.32495,373.92892,474.33807,1163.33606,417.98807,486.69095,1137.53113
2,0.008,224.38811,415.74203,1137.53638,269.19,374.03824,1103.41931,323.39761,372.83115,1101.69836,376.61252,383.98013,1094.72693,309.28024,457.22241,1169.4115,374.03122,475.43652,1161.78149,418.06781,487.177,1135.85815
3,0.017,225.00426,415.35986,1136.11218,268.76669,374.60117,1101.63281,323.98215,373.01837,1100.46692,376.87827,383.67798,1093.55945,310.32877,454.05161,1167.62341,374.53171,475.65524,1160.33435,418.63031,487.23843,1133.797
4,0.025,225.09903,416.62616,1134.39148,269.57486,374.69809,1101.1886,324.07294,372.02585,1099.60303,376.94968,384.94153,1092.10046,310.815,457.53662,1166.62769,374.96487,474.90076,1159.26807,419.01752,487.03845,1132.14941
5,0.033,225.09932,416.35019,1134.01392,270.23438,374.86774,1098.67297,324.04214,370.79111,1097.8158,376.80728,384.01938,1090.85693,311.61707,457.32858,1165.98035,375.38104,474.96011,1156.8678,418.86078,487.06021,1130.38525
6,0.042,225.24191,416.01456,1132.67517,270.48856,374.16812,1098.24854,324.3399,371.40829,1095.70227,377.67368,384.06931,1088.97852,310.66959,457.88257,1164.06335,375.59201,475.89145,1155.69495,419.26746,487.54691,1129.64355
7,0.05,226.0562,415.59305,1130.81335,269.92175,374.45813,1097.16333,324.47574,371.63162,1095.57373,378.1619,383.23508,1088.02759,313.0473,454.0687,1163.07336,375.47607,475.85635,1154.55249,419.74536,487.46759,1127.40088
8,0.058,226.27852,415.89658,1129.61877,270.63309,374.35672,1095.41699,324.84726,372.43741,1093.88318,378.74121,383.16272,1086.71838,312.24686,457.17026,1161.6825,376.2822,476.05829,1153.01428,419.42328,487.31192,1125.87317
9,0.067,227.26855,415.66077,1128.67126,270.89847,373.99091,1095.21375,325.16718,372.48129,1093.01147,378.31586,383.15945,1085.45923,312.35101,457.24841,1159.5459,376.36691,475.81366,1151.65076,420.38922,487.33136,1124.47009
10,0.075,227.29074,415.21991,1128.24243,271.11942,374.8179,1092.7262,325.52612,373.27066,1091.01208,378.61035,383.87735,1083.7262,312.53162,457.17532,1158.8374,377.14801,475.20667,1149.80005,420.29144,487.45889,1123.72339
11,0.083,228.19019,415.13092,1126.20618,271.82813,374.10846,1091.85388,326.56558,372.32779,1089.39502,379.63181,383.53973,1082.0874,313.4364,456.63632,1158.08252,377.63223,474.64334,1148.85486,420.63916,487.19687,1121.71545
12,0.092,228.50418,416.08023,1123.65149,272.63922,373.35925,1090.78857,326.14545,372.20416,1088.11389,381.25699,383.19,1080.44055,313.70514,457.16577,1156.23413,377.6824,475.20648,1147.76599,421.24164,487.34714,1119.74585
13,0.1,228.15384,415.68817,1123.87524,272.36533,373.60934,1089.93652,326.14011,371.82904,1086.44543,381.70645,383.3414,1079.32434,313.44138,457.4549,1154.48743,378.99289,474.53659,1145.65356,421.51752,487.25397,1118.79138
14,0.108,228.49638,414.74283,1122.79211,272.96997,373.25891,1088.36108,326.96344,371.80734,1085.31433,380.63168,382.96124,1078.0271,314.86874,456.80194,1153.552,378.8002,475.67947,1145.0824,422.00586,486.24951,1117.64722
15,0.117,228.6898,414.24023,1121.69849,272.99374,373.40564,1086.50696,326.92361,372.15387,1084.52148,380.66678,383.05719,1077.68201,314.88962,455.17667,1152.63708,379.18805,473.77524,1142.16492,422.20151,485.78473,1116.12622
16,0.125,229.25291,413.9733,1120.34167,273.61237,373.3508,1085.995,327.78882,372.07306,1082.56726,381.30814,383.78757,1074.42749,314.48767,454.89606,1149.88672,379.91177,472.56665,1141.17139,422.99988,485.88922,1114.43054
17,0.133,229.388,413.99133,1119.53479,273.55661,372.27451,1084.2467,328.29105,370.73572,1081.35632,381.2059,382.45032,1073.31909,315.40311,454.82211,1149.3468,379.95499,473.8306,1139.73193,423.01382,486.20627,1112.91296
18,0.142,229.46376,413.54214,1118.73535,273.95612,372.42871,1083.09753,327.7605,371.08569,1080.01758,381.37369,382.95132,1072.77734,317.12906,455.41235,1148.60583,379.67859,474.16547,1139.27173,423.53009,486.00061,1111.46106
19,0.15,229.963,413.66733,1117.57214,273.54202,372.40588,1082.36035,327.68524,371.78598,1079.06201,381.34775,382.79041,1070.86584,316.33762,453.58221,1147.21741,381.34271,471.51956,1137.89954,423.30298,485.07327,1109.70422
20,0.158,230.58463,413.68283,1115.27283,273.70612,372.17767,1081.00537,328.78027,370.76196,1077.62537,381.65887,381.59244,1069.69653,316.3309,454.55676,1144.62561,380.98627,471.58835,1136.12317,424.01605,484.39716,1108.26465
21,0.167,230.90205,413.33047,1114.05847,274.11938,372.00159,1079.67419,328.55225,369.7901,1076.78198,381.35156,381.21451,1068.71448,317.14069,453.7504,1144.20862,380.86371,472.21573,1134.05286,424.09604,484.30573,1107.45007
22,0.175,231.45045,412.02734,1113.26782,274.17142,371.14594,1078.89172,327.91858,368.84647,1075.51733,382.07513,380.63315,1066.71069,316.87204,453.52106,1143.08545,381.08011,471.83682,1132.85034,424.49274,482.93289,1105.07593
23,0.183,231.92529,411.46216,1112.20178,274.49036,370.66501,1076.17224,328.86624,367.34698,1073.77917,381.6601,379.53033,1065.12646,317.2381,453.02734,1141.39111,382.31894,470.16403,1131.9126,424.67761,482.28986,1103.68689
24,0.192,231.99602,411.49652,1110.50806,274.51331,370.15182,1075.48853,329.28946,367.56937,1072.27283,382.74899,378.9903,1063.73376,317.72025,452.24365,1139.08093,382.48605,469.2702,1129.85181,425.46713,482.01175,1101.87451
25,0.2,232.45059,410.58759,1108.43774,274.80878,369.85251,1073.88281,329.24872,367.31339,1070.59705,382.37701,378.50259,1062.28857,318.45517,451.58969,1138.14258,382.7641,469.2016,1128.29395,425.72919,482.20682,1100.59009
26,0.208,232.84438,410.04083,1107.19995,275.00696,369.65942,1072.10803,329.06503,367.3414,1068.88794,382.92554,377.61969,1059.3634,319.26886,450.83551,1137.41919,383.54938,469.21512,1125.80481,426.07837,481.45798,1098.35107
27,0.217,232.82132,409.42642,1105.69495,275.2142,368.86362,1070.81396,329.63147,366.11798,1067.31995,382.86862,376.51135,1059.04956,319.78931,450.18945,1134.69873,383.6286,468.35538,1124.92944,426.20871,481.18713,1096.66077
28,0.225,233.08351,409.01419,1104.59692,275.13913,368.99411,1069.14441,330.21307,366.11914,1065.24207,384.32092,377.83521,1055.74377,320.77829,447.97925,1133.10791,383.68207,467.599,1122.1925,426.68546,480.39917,1094.82751
29,0.233,233.6846,408.33908,1103.61682,276.14752,367.70233,1067.34375,329.48795,365.79276,1063.48193,384.08377,376.44885,1054.49133,320.34998,449.0845,1132.19312,384.60223,467.16327,1120.64575,428.03064,478.60141,1092.61682
30,0.242,234.24684,408.38779,1101.76099,276.47794,368.37964,1065.66174,330.82755,364.53406,1061.54272,383.90976,375.53867,1052.40356,320.75266,448.8447,1129.34375,385.53882,466.98535,1119.4823,427.38098,478.06342,1090.86389
31,0.25,235.14983,407.5661,1100.17871,277.44586,368.07056,1063.9386,331.78592,365.28409,1059.37415,384.34592,376.21136,1050.59424,321.71695,448.5304,1128.52466,385.54047,467.05252,1117.37671,428.0979,478.50964,1088.68701
32,0.258,235.77831,407.77133,1098.84485,277.55188,367.073,1061.92786,331.8233,364.20615,1057.84167,384.50775,376.06302,1047.70764,322.96518,447.79642,1126.88879,386.39429,466.18979,1115.4552,428.95535,478.69894,1086.94458
33,0.267,236.59433,407.08939,1097.60889,277.78973,366.336,1060.77795,331.42819,364.36148,1055.81921,385.05478,375.56696,1046.21692,322.59424,447.6507,1124.48242,387.02045,465.69009,1113.7002,429.07684,477.92972,1084.87524
34,0.275,236.57143,406.66855,1096.26172,278.12396,365.52734,1059.59497,333.00882,362.96997,1054.08594,384.89423,375.70023,1044.55713,323.65268,446.24609,1123.31189,387.77948,465.33444,1111.75574,429.75397,477.61838,1083.37646
35,0.283,237.10687,406.72736,1094.38232,278.83469,365.86276,1057.53931,332.61743,363.20071,1052.51306,386.06561,374.72864,1042.90723,324.18533,447.19989,1122.51526,388.36136,465.38419,1110.00415,430.05008,476.38028,1081.99719
36,0.292,236.97794,407.56735,1093.06055,279.33502,365.83484,1056.19751,333.29108,361.64331,1050.9386,385.92697,373.85101,1040.81885,324.51666,446.91077,1120.026,388.92889,463.9194,1109.07751,430.54871,476.70432,1078.96338
37,0.3,237.81955,406.37888,1091.66113,278.94794,364.59357,1055.24878,333.09109,361.65393,1049.28943,386.65863,373.47662,1038.95618,325.13156,446.90256,1118.04932,389.02927,462.73175,1106.31128,431.01334,476.39581,1077.49072
38,0.308,238.64465,405.22507,1090.38855,279.41949,363.43481,1053.46704,333.55078,360.66153,1047.64014,386.35187,373.60855,1037.46057,324.96188,446.97214,1116.24854,389.91016,463.76984,1105.08276,431.48593,476.08969,1076.55334
39,0.317,239.17789,405.59573,1089.35522,280.1246,364.48047,1051.02014,334.02109,360.1217,1046.94421,387.0087,373.49609,1036.80322,326.01874,445.75964,1115.25696,390.26056,464.28839,1103.16895,431.4024,475.8884,1074.68567
40,0.325,239.61186,404.54172,1087.57581,280.59875,363.18637,1050.99512,334.6438,360.70462,1045.21997,387.39664,372.2117,1034.625,326.39291,445.15726,1113.68713,390.64719,462.94562,1101.49243,432.24786,474.60376,1071.79858
41,0.333,239.32227,404.94458,1086.39319,280.97803,363.30334,1050.1084,334.5834,360.42279,1043.83093,387.75446,371.65738,1033.77869,325.88779,446.23273,1111.46704,391.12305,462.33759,1100.18408,432.77597,474.34476,1070.18604
42,0.342,240.03525,403.77914,1085.06177,282.34781,360.87082,1048.96875,334.74051,358.14578,1042.80444,388.03296,371.81467,1032.1593,327.1416,444.65576,1110.30042,391.10382,461.25928,1098.30505,433.21973,473.74954,1069.41418
43,0.35,240.26952,403.4115,1083.73792,280.6423,361.5123,1047.12866,335.34045,358.6127,1040.90625,387.8168,370.90518,1030.81152,327.90833,444.22189,1109.26013,392.05109,460.70642,1096.80603,433.23886,472.86301,1066.20264
44,0.358,240.2789,402.9122,1082.5708,281.23764,361.18262,1045.83362,335.61795,359.76288,1039.58167,388.32745,369.70819,1028.24854,327.98492,443.03711,1108.0426,391.87973,460.54617,1095.08521,433.40289,473.06812,1065.11829
45,0.367,240.6599,401.90732,1080.65747,282.37576,360.63254,1044.06128,335.34216,356.57382,1038.6897,388.12915,368.65918,1027.13843,328.55612,443.06671,1106.06873,392.30811,460.13861,1093.36389,433.44495,472.25546,1063.82349
46,0.375,240.76387,401.89517,1079.83069,281.47949,360.06766,1042.85266,335.48007,357.22217,1036.40576,388.58588,368.45239,1025.94482,329.32867,441.35202,1104.78894,392.92798,457.92508,1092.2041,434.15787,471.88327,1062.00793
47,0.383,241.27307,401.17972,1078.08813,282.08185,359.69775,1041.36951,335.92172,357.13635,1034.55774,388.88815,367.58063,1024.19019,329.51086,440.99258,1102.86194,392.75723,459.10907,1090.06946,434.44217,470.93372,1059.96094
48,0.392,241.52263,401.30908,1076.91748,281.98779,358.49225,1039.32666,336.15558,356.49567,1032.57068,388.94162,368.01364,1021.35803,329.34378,440.07358,1101.19946,394.20737,456.79062,1088.32349,435.24356,469.33514,1058.11926
49,0.4,242.05411,400.79379,1075.8374,282.85287,358.08627,1037.58875,335.58322,353.76498,1032.26709,389.28207,366.65765,1020.68604,329.63049,440.12598,1100.02966,393.83844,457.12164,1086.9624,435.60574,468.38647,1057.54419
50,0.408,242.19257,400.49899,1073.56714,283.19415,357.95859,1036.83093,336.29642,354.21899,1029.87292,389.62668,366.00974,1018.21356,329.39536,439.72446,1097.4104,394.29941,456.4212,1084.8418,435.91589,467.96445,1054.47339
51,0.417,243.11726,399.21707,1072.43018,282.46155,356.603,1034.96863,336.48984,353.82092,1028.00757,389.61108,365.29208,1017.03375,330.76025,438.25208,1095.47827,394.78247,455.76071,1082.99341,436.04013,467.69748,1053.00256
52,0.425,243.47122,398.81104,1071.24292,282.9682,356.41437,1033.55432,337.43646,351.74515,1026.51025,390.00305,364.52744,1015.25446,330.87454,437.69937,1095.04272,395.70163,454.02908,1081.67676,436.64987,467.33105,1051.7301
53,0.433,243.87955,397.72891,1070.08582,283.00668,356.64212,1031.72046,336.72443,352.85199,1025.36719,390.43143,364.42151,1013.44763,331.11896,437.78876,1093.80872,395.10217,453.9483,1080.33801,436.91299,466.06274,1049.79077
54,0.442,244.13057,396.90961,1068.16272,283.16278,355.2179,1030.34888,337.48608,350.91293,1023.70898,390.00577,364.58414,1011.72748,331.61301,436.70465,1091.68787,396.11621,453.43607,1077.61475,436.97195,466.01883,1048.03833
55,0.45,244.46162,397.01892,1067.13232,283.71072,354.12381,1029.33374,338.06381,350.48315,1022.39417,390.22162,363.05927,1009.97162,332.53055,436.34705,1089.87781,396.84433,452.82236,1076.23364,437.55902,464.98029,1045.06714
56,0.458,245.09048,396.522,1065.99939,284.18774,354.14978,1027.79529,337.39734,349.77307,1020.9118,391.06717,363.09598,1008.49628,332.85342,435.45145,1088.61292,397.21371,452.3201,1075.00745,437.72476,464.66174,1043.82898
57,0.467,244.76622,396.47464,1064.16943,285.04807,353.81415,1025.74878,337.98105,348.82571,1019.27905,391.15598,360.61188,1006.60992,332.8006,435.66632,1086.48962,398.20441,451.46234,1073.29968,438.04169,463.60339,1042.66565
58,0.475,245.24017,395.79547,1062.50781,285.07312,352.94885,1024.63892,338.40253,349.9028,1017.16315,391.56525,360.34476,1004.59918,333.81424,434.22794,1085.24402,397.33469,451.30222,1070.97229,439.45673,463.32935,1040.01221
59,0.483,246.06891,394.15875,1061.62341,286.03711,352.16165,1023.31012,339.55936,348.64279,1015.66046,392.75577,359.63818,1003.56061,334.85953,432.51175,1084.07019,398.09006,451.43539,1068.87073,439.51294,462.33304,1037.77612
60,0.492,247.02272,393.55121,1060.21448,286.24789,350.55148,1022.5907,339.74222,348.12091,1013.73279,392.40298,358.43393,1002.09418,335.34763,432.87436,1081.75085,399.19565,448.98505,1067.63818,439.81754,461.1373,1036.19177
61,0.5,247.31343,393.29776,1058.43774,285.98376,350.5683,1020.90802,340.03253,345.95309,1013.46295,391.55225,357.93814,1000.33173,335.36386,432.35458,1080.46338,399.40863,449.18536,1066.10901,440.34888,460.43179,1035.07336
62,0.508,247.31696,393.12585,1056.64319,286.2135,349.685,1018.9884,340.60538,345.06009,1011.7757,392.59677,357.96066,998.42554,336.2529,431.15985,1078.97534,399.81155,448.44693,1063.4585,440.6712,459.23721,1032.56079
63,0.517,247.7186,392.12994,1055.81775,286.38953,348.81543,1017.32312,340.31708,344.36502,1010.48657,392.56097,357.80325,996.82867,336.33365,431.17337,1076.39355,400.41895,448.07767,1062.10706,441.47311,458.54474,1031.12244
64,0.525,247.84076,391.31375,1054.3252,287.26617,348.77847,1016.50641,340.70935,344.09976,1008.02362,393.20236,355.33563,994.74133,336.61307,430.26276,1075.45288,400.91928,446.71475,1060.98035,440.8949,458.54764,1029.28699
65,0.533,248.50618,390.67218,1052.82104,287.30957,347.46036,1015.24286,340.68845,343.30692,1006.33588,393.41525,354.38657,993.68738,337.92438,427.92923,1074.63208,400.97626,446.16083,1058.96484,442.31781,457.0239,1027.56689
66,0.542,249.61061,390.03232,1051.8324,287.25916,346.5657,1012.76532,341.47418,343.2016,1004.52673,393.52209,354.89413,991.89917,338.2562,428.13715,1071.46606,401.70279,444.07632,1057.08667,442.79562,456.65735,1025.67151
67,0.55,250.0014,389.76733,1050.55627,287.81116,346.74817,1010.97919,341.38171,341.99075,1003.08459,394.23444,352.85193,989.72339,338.13797,427.10956,1070.95117,402.60696,441.99237,1055.61072,442.58273,456.16772,1023.92114
68,0.558,250.54227,388.40552,1049.22974,288.83472,346.06345,1010.31073,341.17999,341.08725,1001.85632,394.57452,352.62085,987.16779,339.13715,426.28421,1069.47327,402.8334,443.37823,1054.86877,443.23755,454.40005,1022.39246
69,0.567,251.14748,387.94336,1047.5199,288.27286,344.63553,1008.63098,342.4071,341.49759,999.77313,394.483,352.03622,986.39886,341.61676,424.56818,1068.00964,404.05792,441.17886,1052.55505,443.79337,453.5979,1021.37805
70,0.575,251.23857,387.30643,1046.61011,288.80151,343.69168,1007.26056,341.77142,340.58356,998.3562,395.37134,352.0715,984.41699,342.79077,421.10648,1066.33582,403.52283,440.8877,1050.75684,444.09427,451.90298,1018.57648
71,0.583,251.62959,385.49081,1045.36047,289.27429,343.46823,1004.64355,342.86627,338.59119,996.41516,395.01508,350.27707,982.93512,342.53387,420.97568,1065.92517,404.39099,439.19098,1049.62781,443.69781,451.68991,1017.56104
72,0.592,252.90559,384.29541,1043.90149,289.71515,342.8959,1004.03394,343.0235,338.2265,995.56976,395.57544,350.56964,981.79156,342.38577,419.5936,1064.87976,405.05792,437.4371,1048.45117,444.49258,450.98392,1016.10376
73,0.6,255.18304,382.55167,1042.89282,290.05722,343.42014,1003.63745,342.94589,337.18643,994.25842,396.29242,349.84747,980.19135,341.93665,419.69592,1063.79932,405.45453,437.82846,1046.27039,446.12503,448.91931,1015.33667
74,0.608,252.8902,382.98779,1041.88782,290.33707,341.5437,1001.82208,344.11096,335.38553,993.77484,395.66705,347.68365,979.06329,342.06195,421.08844,1061.62244,405.92831,437.28378,1044.75769,446.28796,448.26321,1013.02014
75,0.617,253.59822,382.633,1040.72937,291.10718,339.48544,1001.2804,344.38876,335.17847,992.37683,397.11337,346.28497,978.9671,342.89667,421.06952,1059.4469,406.17712,436.90082,1043.93225,446.42377,447.42542,1011.54932
76,0.625,253.71886,382.23273,1039.49341,291.71429,339.12207,1000.21277,344.8407,334.82489,991.51672,397.01743,345.03262,977.08325,343.08966,419.18689,1058.33264,406.67609,436.07813,1042.65356,446.82169,447.15759,1010.37848
77,0.633,254.28088,380.93152,1037.91638,291.85413,338.58844,998.91437,344.94998,332.9942,989.55646,396.71304,343.64267,975.78491,342.54758,419.93591,1057.21887,406.86905,435.12338,1041.10608,447.17209,445.65421,1009.24353
78,0.642,254.10387,380.36514,1036.52258,291.43903,336.16342,997.60114,345.70071,332.73108,988.10413,396.95752,342.64932,974.51465,342.8634,417.44275,1055.81067,407.70078,434.30658,1039.89929,446.90042,445.32547,1007.47913
79,0.65,254.96861,379.65192,1035.23376,291.091,336.1944,995.81183,345.67523,332.10651,987.44049,397.04288,342.46884,973.96564,344.6347,415.86938,1054.69226,407.97427,433.55759,1038.00464,447.25192,443.92599,1005.60181
80,0.658,255.45988,379.00229,1034.32239,291.90927,336.09097,994.98706,345.7066,330.86111,986.25214,397.2088,341.77737,971.95203,344.70715,415.6015,1053.57361,407.98239,432.53003,1036.43713,448.54037,442.39389,1004.66199
81,0.667,255.86821,378.21899,1033.1897,292.44934,335.48837,993.61536,345.29022,329.703,983.77625,397.29395,340.86679,968.53949,344.74548,415.15198,1051.95325,408.55484,431.68784,1035.64343,449.50839,441.42654,1003.54633
82,0.675,256.07809,377.23111,1032.03345,292.6969,333.93253,992.00262,345.65472,329.71234,982.45178,398.11694,339.3721,968.35028,346.08035,411.45398,1050.80688,408.72638,429.9808,1034.29529,449.5965,440.83044,1001.83087
83,0.683,256.46939,376.68887,1030.36707,292.29092,332.81317,991.19843,346.00131,327.73315,981.37592,398.36713,338.89691,967.15253,346.07733,412.74384,1049.55615,410.06665,428.29865,1032.49817,449.68799,440.62381,1000.40247
84,0.692,256.83914,376.09546,1029.11133,293.29343,332.37927,989.8316,346.3631,326.33572,980.24011,398.73895,338.41071,965.61127,345.5993,412.17209,1047.0752,410.35776,427.03192,1031.51233,449.83505,439.29654,998.89587
85,0.7,257.3212,374.38559,1028.2522,293.75595,332.2536,987.68646,346.17007,325.40842,977.95898,399.01614,337.54764,963.31903,346.62866,410.93839,1046.5249,410.3461,426.66083,1029.45654,450.17084,438.92276,997.70557
86,0.708,257.4826,373.82681,1027.05554,293.44843,331.19476,985.82086,346.38629,324.84274,976.4082,399.00085,337.27322,961.04297,347.57709,409.35843,1045.02844,410.60648,426.34454,1028.93396,450.45728,437.4646,995.15729
87,0.717,257.57437,373.15213,1026.0553,294.02777,330.65997,984.99988,346.5495,324.22644,975.95715,399.14856,335.84671,960.5719,348.5668,407.85706,1044.3313,410.5643,425.42642,1027.11768,450.70782,435.73901,994.08893
