Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,303.78546,293.05505,1061.36768,304.22763,250.12282,1027.61182,321.28107,219.16902,998.15704,371.92459,195.77409,971.9986,387.47162,269.23935,1068.18958,441.49667,262.02039,1064.89172,492.14185,253.01158,1062.32739
2,0.008,303.60663,293.60663,1061.31702,304.22763,250.12282,1027.61182,320.44247,218.5378,998.88165,372.39523,195.97575,972.82483,387.66827,268.97034,1069.08496,441.77954,262.1044,1064.70605,492.22717,252.92674,1061.96887
3,0.017,303.71893,293.62842,1061.58325,304.2511,250.74007,1027.84351,320.83582,218.36646,1000.29773,372.27109,195.6095,973.96716,387.58255,269.47989,1069.78918,441.77722,261.78116,1064.84326,492.25946,253.98538,1061.33069
4,0.025,303.71893,293.62842,1061.58325,304.18674,251.06607,1028.11584,320.52963,217.3665,1001.01764,371.8967,195.31895,974.96002,387.60226,269.61203,1069.79004,441.76752,262.29962,1064.54834,492.51819,253.96307,1060.5116
5,0.033,303.71893,293.62842,1061.58325,304.15857,251.46695,1028.48743,320.74792,217.47653,1001.36304,371.70386,194.8887,975.54388,387.75552,270.03827,1069.78479,441.79681,262.59991,1064.36011,492.55972,254.0097,1058.55408
6,0.042,303.83994,293.65662,1061.70959,304.13608,251.2085,1028.89209,320.67743,217.02832,1001.89667,371.40106,194.78218,975.56,387.85706,270.04517,1070.02356,442.00018,262.41043,1064.0929,493.01718,254.03128,1057.224
7,0.05,304.14035,293.29459,1062.26208,304.1528,251.5097,1029.08069,320.345,216.91164,1002.26099,371.54526,194.94168,975.62384,388.32001,269.8945,1069.9762,442.51431,263.11349,1063.30786,493.47101,254.89012,1055.328
8,0.058,304.14035,293.29459,1062.26208,303.98227,251.43671,1029.61243,320.29419,217.44652,1002.33063,371.63202,195.24101,974.9967,388.53278,270.78561,1069.14307,442.96631,264.55902,1061.32043,494.3642,254.74849,1052.59949
9,0.067,304.17841,293.20786,1062.3363,303.98227,251.43671,1029.61243,320.62665,217.56314,1001.96631,371.96356,195.29587,973.7746,389.28787,270.11148,1068.16785,443.65485,263.15817,1060.31433,494.13406,255.58398,1049.11548
10,0.075,304.18314,293.42834,1062.51819,303.98227,251.43671,1029.61243,320.69714,218.01152,1001.43256,371.63559,195.86397,973.15259,389.79816,270.57297,1067.62915,444.4819,264.63382,1057.67566,494.84839,255.94934,1045.22607
11,0.083,304.15604,293.60184,1063.1814,303.98227,251.43671,1029.61243,320.48251,218.01385,1001.18896,370.73141,195.45973,972.57861,390.13263,270.32956,1067.48755,444.97662,264.73468,1055.5271,495.10211,257.11945,1041.09302
12,0.092,304.04108,293.59677,1063.25049,304.36859,251.1452,1029.58411,320.52145,217.19617,1000.29028,370.52612,196.27548,971.50299,390.31458,270.47098,1067.38159,445.75452,264.14767,1053.16809,494.36838,256.24329,1037.02979
13,0.1,303.94855,293.38507,1063.41614,304.36859,251.1452,1029.58411,320.9079,219.84053,999.34552,369.97183,196.59427,970.59265,391.24466,270.58047,1066.91931,446.13828,265.09494,1051.42249,494.37698,257.3765,1033.73035
14,0.108,304.17575,293.33218,1063.21594,304.60208,251.15402,1029.29639,320.87747,219.93091,999.14227,370.21255,197.10609,969.90118,391.26498,270.53821,1066.50903,446.2547,264.99628,1049.32153,494.10458,257.78174,1032.80652
15,0.117,304.27698,293.50537,1063.0675,304.55435,251.18794,1029.07849,320.26694,219.96887,998.87439,369.31958,198.67525,968.88873,391.43137,270.65762,1065.79358,446.01529,265.83057,1048.66174,494.10458,257.78174,1032.80652
16,0.125,304.53302,293.52496,1062.83643,304.59802,251.08716,1028.52551,319.88239,220.34103,998.27307,369.36899,199.17387,968.27533,391.75226,270.62085,1065.67615,445.76291,266.33722,1048.9668,494.41321,257.30405,1033.8335
17,0.133,304.52289,293.345,1062.67126,304.92099,250.20018,1027.95557,319.84045,220.60785,997.82245,369.00089,200.47937,966.97668,391.56818,270.4657,1065.56836,446.02341,265.99146,1049.95081,494.3111,256.72433,1036.98267
18,0.142,304.43008,293.20975,1062.26099,304.9183,250.13457,1027.55469,320.66714,220.56935,997.23682,369.64828,200.96567,966.29614,391.19351,269.87384,1065.64392,445.11014,264.05679,1052.39905,495.30081,257.11053,1041.11646
19,0.15,304.42868,293.26059,1062.33264,304.50156,250.77216,1027.11194,320.99594,220.94724,996.02863,370.22141,200.45755,965.85223,390.74698,269.78314,1065.69751,443.86694,263.25037,1054.93518,494.75616,254.92377,1045.65527
20,0.158,304.40552,293.09689,1062.16626,304.63068,250.60388,1026.95264,320.85593,220.66327,995.69031,370.28668,200.58923,965.75385,389.35284,269.79712,1065.95618,442.94275,263.45157,1057.20215,494.30484,254.26289,1049.96887
21,0.167,303.91342,293.293,1061.73206,304.58792,252.21443,1025.1958,320.46545,221.50261,995.27917,370.43747,200.87883,965.95166,388.93411,269.63611,1066.45618,443.59705,263.15558,1059.65784,493.89523,254.38522,1054.18152
22,0.175,303.71893,293.62842,1061.58325,304.50452,251.99973,1025.54285,320.75803,221.17438,995.46704,371.25937,200.74358,966.0918,388.29807,270.11261,1066.8656,442.49323,262.82492,1062.93909,492.96649,254.03241,1057.59448
23,0.183,303.71893,293.62842,1061.58325,304.50452,251.99973,1025.54285,321.02103,220.8064,995.77075,371.54138,200.64987,966.97919,388.14548,270.11862,1067.22156,441.28659,263.09058,1064.30176,492.37585,254.07722,1060.17847
24,0.192,303.71893,293.62842,1061.58325,304.69016,252.11766,1025.86133,321.16104,221.09039,996.10907,372.01401,200.08652,967.79822,387.49585,270.41467,1067.53772,440.8801,263.09949,1064.66479,492.34473,253.41168,1061.9397
25,0.2,303.32303,294.0766,1061.49524,304.42642,251.87175,1026.72351,321.0163,220.7016,996.43732,372.33011,199.52821,969.52289,387.40466,270.0694,1069.35425,440.63428,262.89633,1065.87769,491.79141,254.01979,1063.16272
26,0.208,303.18661,294.39227,1061.46094,304.2258,251.94861,1027.03052,320.9408,220.0997,997.74603,372.65671,198.64981,971.21161,387.11758,270.18994,1069.70764,440.31836,262.91556,1066.51343,491.54218,254.24274,1063.63196
27,0.217,303.18661,294.39227,1061.46094,304.22961,251.57852,1027.48657,321.3541,221.26283,999.15381,373.24445,197.29678,973.47858,386.85098,270.50223,1070.96887,440.55252,263.39529,1066.89233,491.59225,254.18768,1063.68005
28,0.225,302.81396,294.52362,1061.36938,304.21005,251.66762,1028.14734,320.84296,220.53647,999.98865,372.84991,196.67668,974.72101,386.81842,271.10123,1071.24988,440.8981,263.81732,1067.26685,491.79218,254.49777,1063.75012
29,0.233,302.90558,294.74167,1061.57654,304.17532,251.7681,1028.67603,320.90378,219.10054,1001.05859,371.93448,196.21936,976.52234,386.90616,271.19382,1071.31799,441.00052,264.13342,1067.29504,491.82562,254.6487,1063.77307
30,0.242,302.90558,294.74167,1061.57654,304.17532,251.7681,1028.67603,319.7215,217.9879,1003.16248,372.02133,195.38152,977.68298,386.96811,271.00372,1071.5144,440.85159,264.25476,1067.6438,491.76495,254.76288,1063.5365
31,0.25,303.02652,294.7699,1061.70288,303.93454,251.47055,1029.39453,319.68579,218.0851,1003.3772,372.00491,194.88698,977.81659,387.11258,270.92316,1071.63147,441.06464,264.23874,1067.63367,492.16711,255.25256,1062.54785
32,0.258,303.13541,295.59241,1062.0415,304.14404,251.73204,1029.74048,319.8974,217.52638,1003.82629,372.00491,194.88698,977.81659,387.37683,271.11655,1071.78381,441.08392,264.59375,1067.35669,492.69003,255.20428,1061.24341
33,0.267,303.05325,295.28812,1062.10706,303.94229,252.05746,1030.07959,319.56393,218.24818,1003.55975,371.99005,194.93286,978.24017,387.2027,271.77951,1071.49353,441.05145,266.43146,1065.18604,492.74146,255.72302,1059.3656
34,0.275,303.82175,294.70828,1062.28662,303.94229,252.05746,1030.07959,319.56393,218.24818,1003.55975,372.00491,194.88698,977.81659,387.44095,271.13519,1071.80981,442.16028,265.48108,1064.51038,492.43475,256.06808,1056.68872
35,0.283,303.85181,294.68024,1062.78271,303.94229,252.05746,1030.07959,319.56393,218.24818,1003.55975,371.48071,194.62422,977.65808,387.59854,271.26218,1071.41016,441.9827,266.41321,1063.4718,493.55759,256.14487,1055.01355
36,0.292,303.66199,294.56726,1063.07813,303.94229,252.05746,1030.07959,319.56393,218.24818,1003.55975,371.34134,194.6777,977.53998,387.90369,270.86316,1071.52405,444.10043,263.26419,1062.00659,493.37717,256.42407,1051.05957
37,0.3,303.94803,294.04874,1063.11047,304.09,251.61639,1030.46313,319.68579,218.0851,1003.3772,371.07278,194.9917,976.78241,388.0379,271.20648,1071.02649,443.35159,265.26642,1060.08704,493.9577,256.33344,1049.18884
38,0.308,304.02512,293.78012,1063.2251,304.09,251.61639,1030.46313,319.68579,218.0851,1003.3772,370.88434,195.29112,975.95984,388.64783,271.27921,1070.57019,443.52536,264.60123,1059.55737,494.56512,255.80296,1046.7605
39,0.317,303.9621,293.54858,1063.31799,303.94229,252.05746,1030.07959,319.68579,218.0851,1003.3772,370.20804,195.80939,974.56409,389.13446,271.31473,1068.854,443.82074,265.10245,1057.71814,494.31204,255.97998,1045.50806
40,0.325,303.88785,293.42435,1063.52136,303.98227,251.43671,1029.61243,319.31812,218.95335,1002.02893,370.0116,195.76424,973.39624,389.83545,270.57919,1067.74048,444.14401,265.31097,1056.80359,494.32242,255.49309,1045.34009
41,0.333,303.74847,293.22873,1063.45752,303.93454,251.47055,1029.39453,319.31613,218.54465,1000.34485,369.84659,196.41145,971.74713,389.88113,269.98923,1067.69922,443.96005,263.40344,1056.90894,494.15036,255.32979,1045.49609
42,0.342,303.82108,293.37466,1063.25415,304.1528,251.5097,1029.08069,320.22653,219.99783,999.23987,370.46011,196.66669,970.9176,389.97223,270.15286,1067.396,443.66772,263.60474,1056.82971,494.40054,254.87563,1046.7207
43,0.35,303.85803,293.23788,1063.10437,304.15857,251.46695,1028.48743,320.5101,219.93419,998.56482,370.27612,197.30676,969.81342,389.82922,270.0983,1067.22534,443.22668,263.13141,1057.72583,494.32126,254.52487,1048.24646
44,0.358,304.11539,292.97632,1062.42932,304.15582,251.40125,1028.08643,319.88239,220.34103,998.27307,369.70322,198.38063,969.18689,389.18097,269.54794,1067.12671,442.76028,262.85529,1058.52185,494.33258,254.16035,1050.12463
45,0.367,304.11539,292.97632,1062.42932,304.13907,251.09999,1027.89795,319.84045,220.60785,997.82245,369.7923,198.71753,968.72882,389.13248,269.45206,1067.19617,442.78055,263.14294,1059.77576,493.51611,253.40149,1052.32788
46,0.375,304.11539,292.97632,1062.42932,304.29977,250.12375,1027.43518,320.45807,220.20732,997.3147,370.14249,199.33879,967.98389,388.68277,269.32941,1067.15613,444.01132,262.12021,1060.04016,493.27039,252.71593,1054.2688
47,0.383,304.04886,293.0766,1062.05493,304.29977,250.12375,1027.43518,319.92612,220.80286,997.3222,370.53833,199.67877,967.81415,388.48785,269.06421,1067.27026,441.92734,262.00562,1062.43799,492.82037,252.5829,1056.57153
48,0.392,304.04886,293.0766,1062.05493,304.28644,250.44269,1027.16296,320.78485,220.41457,996.73944,370.53137,198.77824,968.39575,387.9075,268.67242,1067.36829,441.76569,261.50974,1063.50269,493.04681,251.84081,1057.29468
49,0.4,303.77661,293.16934,1061.81372,304.28644,250.44269,1027.16296,320.45807,220.20732,997.3147,371.00696,198.30251,969.08026,387.80835,268.6152,1067.922,441.7171,261.50513,1064.14795,493.22705,251.27457,1058.60767
50,0.408,303.77661,293.16934,1061.81372,304.07965,250.87254,1026.85156,319.71429,220.55977,997.65955,371.06949,197.54958,969.48077,387.42776,268.82947,1068.13513,441.2648,261.40408,1064.22363,492.38791,251.15491,1059.84253
