Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,716.57654,185.97903,1271.63538,719.53137,140.46906,1237.82898,745.52997,130.5762,1203.26794,778.62421,129.19659,1176.06201,791.21338,164.38495,1253.44434,830.01202,168.24719,1231.49927,857.37347,165.02232,1209.3905
2,0.008,716.29327,186.07964,1271.77686,719.53137,140.46906,1237.82898,745.58997,130.71976,1203.09338,777.27698,129.59174,1176.30493,791.21338,164.38495,1253.44434,829.90607,168.32156,1231.61023,857.35156,165.04013,1209.32129
3,0.017,715.87946,186.18442,1271.88342,719.53137,140.46906,1237.82898,745.58997,130.71976,1203.09338,777.16132,129.75371,1176.39734,791.11847,164.51468,1253.71033,830.41022,168.32455,1234.21558,857.36255,165.34174,1210.38806
4,0.025,715.77142,186.03297,1271.94861,719.07043,144.15642,1237.87634,745.15973,131.8029,1203.16309,777.38965,131.76324,1176.27087,790.80426,164.74709,1254.20227,830.49146,168.10265,1234.89294,857.29596,167.61229,1211.4458
5,0.033,715.83929,185.76544,1272.06543,718.95184,145.30942,1237.61792,745.35144,132.57434,1203.74707,778.7124,131.7352,1176.60864,790.93671,164.57559,1254.34863,830.12915,168.66579,1234.52698,857.42346,168.41037,1211.92346
6,0.042,715.62634,186.54799,1272.42212,718.90283,145.3549,1237.49475,745.51276,132.65034,1203.65137,778.61945,132.32001,1177.05664,791.00403,164.98369,1254.93372,830.35822,169.06706,1234.86719,857.51184,168.41594,1212.29736
7,0.05,715.37878,186.58403,1272.46265,718.96271,144.74474,1238.03003,745.51276,132.65034,1203.65137,778.93427,132.46802,1177.38647,790.64423,165.20169,1255.64001,829.56342,170.35294,1235.08679,857.74078,169.10674,1212.85449
8,0.058,715.06573,186.73315,1272.53296,718.66418,144.88432,1238.20605,745.5119,132.84306,1203.77197,777.94745,133.41252,1177.86133,790.08813,165.20375,1256.0415,829.35638,170.54204,1235.24878,857.45807,169.09074,1213.3656
9,0.067,715.0387,186.8511,1272.67786,718.89838,144.97838,1238.36829,745.59094,132.77785,1203.95471,777.26038,134.06146,1177.92334,790.62134,166.06569,1256.23828,829.30182,170.43573,1235.58289,857.41791,169.73753,1213.75208
10,0.075,714.85193,186.55,1273.04028,718.89838,144.97838,1238.36829,745.5351,132.99339,1203.64294,778.44867,135.05475,1178.62366,790.62134,166.06569,1256.23828,829.04614,170.60464,1235.71082,856.61261,170.70377,1213.45605
11,0.083,714.6358,186.53011,1273.4342,718.94525,144.68826,1238.45776,745.12848,133.49484,1204.17383,777.03485,135.27905,1177.69214,790.55988,166.29253,1256.30774,828.98798,170.72514,1235.88086,856.573,171.33662,1213.58557
12,0.092,714.73969,186.77936,1273.89807,719.08667,144.84543,1238.65515,745.12848,133.49484,1204.17383,776.87726,135.37021,1177.8855,789.86682,167.00249,1256.32568,828.79437,171.12326,1235.94128,856.04767,173.06978,1213.13464
13,0.1,714.58771,186.83449,1274.34595,719.00183,145.40984,1238.57959,745.08276,133.59628,1204.34155,777.85455,136.28893,1178.04553,789.86682,167.00249,1256.32568,828.59528,171.14371,1235.94861,856.02142,173.3031,1213.33081
14,0.108,714.48914,186.93321,1274.89465,718.39539,145.98573,1238.85876,745.38531,134.50156,1204.77234,778.40192,136.66801,1178.81555,789.7583,167.21803,1256.4762,827.88586,172.06247,1235.6012,856.10516,173.24597,1213.18237
15,0.117,714.06488,186.97961,1275.07483,717.8291,146.42397,1239.08313,743.94739,137.28926,1203.58081,778.33679,136.67822,1179.24048,789.06219,167.45952,1256.74036,827.42377,172.5708,1235.65771,855.7005,174.16277,1213.46899
16,0.125,714.1499,187.56012,1275.44421,717.87512,146.54059,1238.94324,743.78113,135.48157,1203.94287,776.70441,135.53468,1178.30212,789.05377,167.98712,1257.33276,826.94257,173.25685,1235.79626,855.00873,175.12462,1213.39026
17,0.133,713.60144,188.10788,1276.26599,717.76917,144.03267,1239.09705,743.81757,136.97861,1204.60205,775.20575,136.11717,1179.56311,788.37476,168.6272,1257.31531,826.39722,173.91673,1235.72888,855.05981,175.07426,1213.63855
18,0.142,713.64349,188.13565,1276.2229,716.81732,145.44923,1238.84985,743.81757,136.97861,1204.60205,774.98755,135.97223,1179.71448,787.8974,168.68768,1257.90906,825.84167,174.16364,1236.60706,855.06293,174.64439,1214.18628
19,0.15,712.72803,188.6615,1276.19666,715.8576,148.58203,1241.52039,743.89978,136.90816,1205.03003,774.84613,135.8878,1181.0658,787.86194,168.95018,1258.3446,825.44574,174.05104,1237.45898,854.05298,174.97751,1214.8197
20,0.158,712.26434,188.75685,1276.5011,715.81134,147.89401,1241.65295,743.86993,135.8656,1206.54443,774.98224,135.8331,1181.29578,787.48688,170.03664,1259.71265,825.55652,173.55817,1238.04907,853.42328,174.64018,1216.58118
21,0.167,711.23035,189.10115,1276.95264,715.91486,145.24554,1241.80615,744.40576,136.20514,1207.94763,775.08502,135.64014,1182.0813,787.05438,170.44641,1260.65369,825.61237,173.59753,1239.34521,853.30951,174.59224,1217.77917
22,0.175,710.56238,190.75043,1277.1554,715.6488,145.16589,1242.89294,743.35156,135.61972,1208.53101,776.59961,135.96545,1183.729,786.65948,170.3815,1261.45996,825.25232,173.77591,1241.03821,853.37463,175.19139,1218.81982
23,0.183,710.11987,191.24969,1277.21875,714.63556,146.03091,1242.82751,742.62518,137.00906,1209.7998,778.37042,136.5955,1185.9375,786.49561,170.84097,1262.3396,825.65845,173.18256,1243.54761,853.4201,174.32883,1220.00867
24,0.192,710.07587,191.67612,1277.95569,714.35413,149.31633,1243.65955,742.92133,137.07979,1210.44666,777.92273,137.40935,1186.14233,786.58826,170.45078,1263.99756,825.25354,174.51775,1244.02502,852.57141,174.45393,1222.91467
25,0.2,710.01373,191.94513,1278.43823,714.69275,147.00798,1243.72437,743.48364,137.09454,1211.41333,778.91321,137.55383,1188.31616,785.49908,171.23341,1265.13843,825.20245,174.07307,1245.87317,853.6131,174.99026,1223.92444
26,0.208,709.94806,192.04883,1278.58069,714.69275,147.00798,1243.72437,743.91528,137.69424,1212.01819,779.18073,137.43857,1189.05603,785.73859,171.48529,1265.58667,824.34296,175.00107,1246.31958,853.57141,175.08241,1225.08289
27,0.217,709.72784,192.18005,1278.85632,714.53101,147.1035,1244.43542,743.93292,138.3842,1212.4884,779.11176,137.47215,1189.18347,785.47412,171.82423,1266.276,824.159,175.26375,1246.96692,853.3302,175.22661,1225.98279
28,0.225,709.56458,192.58365,1279.07959,714.17004,147.5313,1245.30164,743.92261,138.52979,1212.72766,778.37762,138.21703,1189.96387,785.50647,172.71062,1266.79175,824.09552,176.00314,1248.23047,853.54364,175.9166,1226.51245
29,0.233,709.21667,192.65314,1279.17712,714.68671,147.66438,1245.67822,743.92261,138.52979,1212.72766,778.53149,138.02954,1189.67249,784.7796,173.31648,1266.48914,824.01727,177.05952,1247.86768,853.00061,177.11917,1227.01807
30,0.242,708.69806,192.73595,1279.32117,714.96655,147.87039,1245.78528,743.64081,138.79852,1213.15637,778.35437,138.8763,1189.84692,784.43201,174.15108,1266.60498,823.70679,177.80829,1247.77698,852.42603,177.9861,1226.74072
31,0.25,708.56812,192.86113,1279.74133,714.58826,148.09712,1246.18286,743.78357,139.0312,1213.20166,777.38086,139.34184,1189.2655,784.44098,174.78365,1266.61072,823.27356,179.59731,1246.99744,852.11432,178.19055,1226.44055
