Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,472.60074,196.90758,1087.59033,445.26508,175.73465,1060.79712,500.83047,153.11594,1015.71643,544.54102,129.13486,1000.17554,550.27966,174.74179,1072.94397,605.56604,174.82256,1054.32617,645.20416,173.76486,1040.21838
2,0.008,472.60074,196.90758,1087.59033,444.45297,176.31674,1061.02393,501.259,153.33994,1016.57025,544.15894,128.30898,1000.71814,550.01837,174.64375,1073.07385,605.31366,174.91191,1055.29211,645.11359,173.51457,1040.84363
3,0.017,472.60074,196.90758,1087.59033,444.9621,176.20988,1061.0387,501.65714,153.35799,1016.73547,544.15894,128.30898,1000.71814,550.17731,174.7088,1073.30408,605.12207,174.08479,1056.42566,645.04572,172.85429,1041.84106
4,0.025,472.64709,197.22269,1087.66138,445.75739,173.76991,1061.71619,501.29605,152.59865,1017.09235,543.83301,127.79102,1001.01495,550.32306,174.75871,1074.44177,605.55255,173.96474,1057.99084,645.23444,173.07448,1043.02539
5,0.033,472.59821,198.68854,1087.68213,445.75739,173.76991,1061.71619,502.19846,152.58946,1017.80933,543.64764,126.91359,1001.57306,550.64807,175.09048,1075.96814,605.72778,173.6127,1059.21521,645.43182,172.34399,1044.74829
6,0.042,472.64865,199.08453,1087.58594,445.948,173.97574,1061.82275,502.50305,153.60638,1015.69867,544.24426,129.15004,1001.96741,550.1778,174.78046,1077.62366,605.43506,173.40627,1059.98083,645.09662,171.60365,1046.85315
7,0.05,472.62482,198.79654,1087.62781,446.14841,174.36263,1061.70337,502.33444,152.75064,1018.07153,545.08221,129.33064,1003.20386,549.06738,174.3333,1078.53528,605.34161,172.26878,1061.979,645.52484,171.13718,1048.36914
8,0.058,472.4614,199.24763,1087.78088,446.21829,175.40099,1061.19788,502.2428,153.76752,1018.64581,545.08221,129.33064,1003.20386,549.10608,174.35458,1078.67334,605.58698,172.53976,1063.6875,645.49524,170.21913,1049.87415
9,0.067,472.44559,199.4577,1087.67493,446.21829,175.40099,1061.19788,503.10587,153.90044,1018.75598,546.07813,127.20642,1007.32574,548.89233,173.72908,1078.90088,605.36133,172.5461,1064.28711,645.26544,169.98602,1051.31433
10,0.075,472.45929,199.56773,1087.63904,446.33823,175.77701,1060.93066,503.2518,152.99292,1019.58368,547.01648,124.90346,1009.22888,548.92731,173.63474,1078.9884,605.54376,171.61284,1065.39783,645.56305,169.7869,1052.03528
